
2025-04-15 09:38:06:326 Info  @UtlLogger instance created
2025-04-15 09:38:06:327 Info  @starting UroBiopsy (SVN 858)
2025-04-15 09:38:07:093 Info  @MainWindow instance created

2025-04-15 09:38:50:358 User  @user 'Service' login
2025-04-15 09:38:50:419 Info  @UroBiopsy launched
2025-04-15 09:38:50:420 Info  @SurgeryController instance created
2025-04-15 09:38:50:456 Info  @Robot Unit: TX-05-00
2025-04-15 09:38:50:640 Info  @VisualEngine instance created
2025-04-15 09:38:52:678 MCU   @firmware version (Master): 1.0.0_004
2025-04-15 09:38:52:678 MCU   @mcu controller connected: COM11 (baudrate: 115200)
2025-04-15 09:38:52:828 MCU   @firmware version (Node 3): 1.0.0.14
2025-04-15 09:38:52:932 MCU   @firmware version (Node 4): 1.0.0.14
2025-04-15 09:38:53:054 MCU   @firmware version (Node 5): 1.0.0.14
2025-04-15 09:38:53:137 MCU   @firmware version (Node 6): 1.0.0.14
2025-04-15 09:38:53:260 MCU   @firmware version (Node 7): 1.0.0.14
2025-04-15 09:38:53:342 MCU   @firmware version (Node 8): 1.0.0.14
2025-04-15 09:38:53:425 MCU   @firmware version (Node 9): 1.0.0.14
2025-04-15 09:38:53:550 MCU   @firmware version (Node 10): 1.0.0.14
2025-04-15 09:38:53:632 MCU   @firmware version (Node 11): 1.0.0.16
2025-04-15 09:38:53:753 DEBUG @S.SC state (7, 24)
2025-04-15 09:38:53:753 DEBUG @E.SC state (7, 24)
2025-04-15 09:38:53:753 DEBUG @S.VE state (7, 24)
2025-04-15 09:38:53:753 DEBUG @E.VE state (7, 24)
2025-04-15 09:38:53:754 DEBUG @S.MW state (7, 24)
2025-04-15 09:38:53:758 MCU   @firmware version (Node 12): 1.0.0.14
2025-04-15 09:38:53:841 MCU   @firmware operation mode (Node 3): 1
2025-04-15 09:38:53:946 MCU   @firmware operation mode (Node 4): 1
2025-04-15 09:38:53:946 MCU   @firmware support speed control
2025-04-15 09:38:54:029 MCU   @firmware operation mode (Node 5): 1
2025-04-15 09:38:54:134 DEBUG @E.MW state (7, 24)
2025-04-15 09:38:54:155 MCU   @firmware operation mode (Node 6): 1
2025-04-15 09:38:54:238 MCU   @firmware operation mode (Node 7): 1
2025-04-15 09:38:54:343 MCU   @firmware operation mode (Node 8): 1
2025-04-15 09:38:54:427 MCU   @firmware operation mode (Node 9): 1
2025-04-15 09:38:54:551 MCU   @firmware operation mode (Node 10): 1
2025-04-15 09:38:54:777 MCU   @firmware operation mode (Node 12): 1
2025-04-15 09:38:54:861 MCU   @firmware acceptable error range (Node 3): 512
2025-04-15 09:38:54:861 MCU   @[X] error range replaced with local set: 11741
2025-04-15 09:38:54:883 Info  @needle guide opened
2025-04-15 09:38:54:965 MCU   @firmware acceptable error range (Node 4): 512
2025-04-15 09:38:54:965 MCU   @[Y] error range replaced with local set: 11741
2025-04-15 09:38:55:049 MCU   @firmware acceptable error range (Node 5): 512
2025-04-15 09:38:55:050 MCU   @[V] error range replaced with local set: 6154
2025-04-15 09:38:55:174 MCU   @firmware acceptable error range (Node 6): 512
2025-04-15 09:38:55:175 MCU   @[H] error range replaced with local set: 6154
2025-04-15 09:38:55:258 MCU   @firmware acceptable error range (Node 7): 512
2025-04-15 09:38:55:259 MCU   @[N] error range replaced with local set: 19376
2025-04-15 09:38:55:363 MCU   @firmware acceptable error range (Node 8): 512
2025-04-15 09:38:55:364 MCU   @[R] error range replaced with local set: 4097
2025-04-15 09:38:55:458 Frame @frame grabber simulator started
2025-04-15 09:38:55:468 MCU   @firmware acceptable error range (Node 9): 512
2025-04-15 09:38:55:468 MCU   @[P] error range replaced with local set: 4097
2025-04-15 09:38:55:550 MCU   @firmware operation mode (Node 11): 1
2025-04-15 09:38:55:674 MCU   @firmware acceptable error range (Node 12): 512
2025-04-15 09:38:55:675 MCU   @[Z] error range replaced with local set: 17615

2025-04-15 09:39:21:393 User  @on_startInitRobot_clicked
2025-04-15 09:39:24:925 Info  @switch LED light to Red
2025-04-15 09:39:24:925 DEBUG @S.SC state (7, 25)
2025-04-15 09:39:24:926 DEBUG @E.SC state (7, 25)
