DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2025-06-30 18:12:18:921,P,-9644,-0.99,TPOS,-48924,-5.0000,-39280,-4.0144
2025-06-30 18:12:18:944,Z,-3073119,-34.90,TPOS,-440320,-5.0000,2632799,29.8964
2025-06-30 18:12:18:969,X,-1200196,-20.44,TPOS,-293546,-5.0000,906650,15.4430
2025-06-30 18:12:18:992,Y,-803974,-13.69,TPOS,-293546,-5.0000,510428,8.6942
2025-06-30 18:12:19:015,V,852425,-24.99,TPOS,170585,-5.0000,-681840,19.9853
2025-06-30 18:12:19:041,N,-836988,10.45,TPOS,-400290,5.0000,436698,-5.4548
2025-06-30 18:12:19:063,R,-1173639,-59.97,TPOS,-97848,-5.0000,1075791,54.9721
2025-06-30 18:12:19:213,P,-9644,-0.99,TPOS_S,-,-,-,-
2025-06-30 18:12:19:342,Z,-3073119,-34.90,TPOS_S,-,-,-,-
2025-06-30 18:12:19:469,X,-1200196,-20.44,TPOS_S,-,-,-,-
2025-06-30 18:12:19:577,P,-49345,-5.04,TPOS_E,-48924,-5.0000,421,0.0430
2025-06-30 18:12:19:605,Y,-803974,-13.69,TPOS_S,-,-,-,-
2025-06-30 18:12:19:651,P,-49345,-5.04,TPOS,-1556233,-159.0445,-1506888,-154.0015
2025-06-30 18:12:19:735,V,852425,-24.99,TPOS_S,-,-,-,-
2025-06-30 18:12:19:887,N,-836988,10.45,TPOS_S,-,-,-,-
2025-06-30 18:12:19:996,R,-1173639,-59.97,TPOS_S,-,-,-,-
2025-06-30 18:12:20:124,P,-49345,-5.04,TPOS_S,-,-,-,-
2025-06-30 18:12:22:133,N,-399251,4.99,TPOS_E,-400290,5.0000,-1039,0.0130
2025-06-30 18:12:22:560,N,-399251,4.99,TPOS,-5084938,63.5155,-4685687,58.5285
2025-06-30 18:12:22:730,N,-399251,4.99,TPOS_S,-,-,-,-
2025-06-30 18:12:24:139,V,170071,-4.98,TPOS_E,170585,-5.0000,514,-0.0151
2025-06-30 18:12:24:566,V,170071,-4.98,TPOS,819264,-24.0133,649193,-19.0283
2025-06-30 18:12:24:672,Y,-293682,-5.00,TPOS_E,-293546,-5.0000,136,0.0023
2025-06-30 18:12:24:739,Y,-293682,-5.00,TPOS,-836874,-14.2545,-543192,-9.2522
2025-06-30 18:12:24:760,V,170071,-4.98,TPOS_S,-,-,-,-
2025-06-30 18:12:24:950,Y,-293682,-5.00,TPOS_S,-,-,-,-
2025-06-30 18:12:26:360,R,-97129,-4.96,TPOS_E,-97848,-5.0000,-719,-0.0367
2025-06-30 18:12:26:787,R,-97129,-4.96,TPOS,-2212080,-113.0355,-2114951,-108.0723
2025-06-30 18:12:26:976,R,-97129,-4.96,TPOS_S,-,-,-,-
2025-06-30 18:12:27:984,V,820184,-24.04,TPOS_E,819264,-24.0133,-920,0.0270
2025-06-30 18:12:28:187,Y,-837193,-14.26,TPOS_E,-836874,-14.2545,319,0.0054
2025-06-30 18:12:28:413,V,820184,-24.04,TPOS,170585,-5.0000,-649599,19.0402
2025-06-30 18:12:28:437,Y,-837193,-14.26,TPOS,-293546,-5.0000,543647,9.2600
2025-06-30 18:12:28:605,V,820184,-24.04,TPOS_S,-,-,-,-
2025-06-30 18:12:28:734,Y,-837193,-14.26,TPOS_S,-,-,-,-
2025-06-30 18:12:29:338,P,-1556926,-159.12,TPOS_E,-1556233,-159.0445,693,0.0708
2025-06-30 18:12:29:765,P,-1556926,-159.12,TPOS,-48924,-5.0000,1508002,154.1154
2025-06-30 18:12:29:959,P,-1556926,-159.12,TPOS_S,-,-,-,-
2025-06-30 18:12:30:362,X,-293670,-5.00,TPOS_E,-293546,-5.0000,124,0.0021
2025-06-30 18:12:30:792,X,-293670,-5.00,TPOS,-910162,-15.5029,-616492,-10.5008
2025-06-30 18:12:30:981,X,-293670,-5.00,TPOS_S,-,-,-,-
2025-06-30 18:12:32:588,V,170042,-4.98,TPOS_E,170585,-5.0000,543,-0.0159
2025-06-30 18:12:33:013,V,170042,-4.98,TPOS,819264,-24.0133,649222,-19.0292
