DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2025-07-04 10:31:57:016,Z,-3073296,-34.90,TPOS,-440320,-5.0000,2632976,29.8984
2025-07-04 10:31:57:302,Z,-3073296,-34.90,TPOS_S,-,-,-,-
2025-07-04 10:32:13:921,Z,-440249,-5.00,TPOS_E,-440320,-5.0000,-71,-0.0008
2025-07-04 10:32:14:345,Z,-440249,-5.00,TPOS,-3874569,-43.9972,-3434320,-38.9980
2025-07-04 10:32:14:528,Z,-440249,-5.00,TPOS_S,-,-,-,-
2025-07-04 10:32:37:153,Z,-3874437,-44.00,TPOS_E,-3874569,-43.9972,-132,-0.0015
2025-07-04 10:32:37:577,Z,-3874437,-44.00,TPOS,-440320,-5.0000,3434117,38.9957
2025-07-04 10:32:37:760,Z,-3874437,-44.00,TPOS_S,-,-,-,-
2025-07-04 10:32:59:583,Z,-440247,-5.00,TPOS_E,-440320,-5.0000,-73,-0.0008
2025-07-04 10:33:00:007,Z,-440247,-5.00,TPOS,-3874569,-43.9972,-3434322,-38.9980
2025-07-04 10:33:00:190,Z,-440247,-5.00,TPOS_S,-,-,-,-
