DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2025-08-28 10:31:12:904,X,-954048,-16.25,TPOS,-1139176,-19.4037,-185128,-3.1533
2025-08-28 10:31:12:926,Y,-1340785,-22.84,TPOS,-805647,-13.7226,535138,9.1150
2025-08-28 10:31:12:947,V,838714,-24.58,TPOS,1266161,-37.1121,427447,-12.5288
2025-08-28 10:31:12:970,H,823290,-24.13,TPOS,405711,-11.8917,-417579,12.2396
2025-08-28 10:31:13:197,X,-954048,-16.25,TPOS_S,-,-,-,-
2025-08-28 10:31:13:320,Y,-1340785,-22.84,TPOS_S,-,-,-,-
2025-08-28 10:31:13:445,V,838714,-24.58,TPOS_S,-,-,-,-
2025-08-28 10:31:13:590,H,823290,-24.13,TPOS_S,-,-,-,-
2025-08-28 10:31:14:594,X,-1139651,-19.41,TPOS_E,-1139176,-19.4037,475,0.0081
2025-08-28 10:31:15:797,V,1267038,-37.14,TPOS_E,1266161,-37.1121,-877,0.0257
2025-08-28 10:31:15:998,H,404950,-11.87,TPOS_E,405711,-11.8917,761,-0.0223
2025-08-28 10:31:18:604,Y,-805755,-13.72,TPOS_E,-805647,-13.7226,108,0.0018
