DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2025-08-28 16:47:04:705,P,-1140782,-116.59,TPOS,-1167212,-119.2872,-26430,-2.7011
2025-08-28 16:47:04:727,V,1293767,-37.92,TPOS,429172,-12.5794,-864595,25.3419
2025-08-28 16:47:04:750,H,855814,-25.08,TPOS,720992,-21.1328,-134822,3.9517
2025-08-28 16:47:04:772,N,-3469470,43.34,TPOS,-3298954,41.2070,170516,-2.1299
2025-08-28 16:47:04:978,P,-1140782,-116.59,TPOS_S,-,-,-,-
2025-08-28 16:47:05:122,V,1293767,-37.92,TPOS_S,-,-,-,-
2025-08-28 16:47:05:245,H,855814,-25.08,TPOS_S,-,-,-,-
2025-08-28 16:47:05:246,P,-1167725,-119.34,TPOS_E,-1167212,-119.2872,513,0.0524
2025-08-28 16:47:05:392,N,-3469470,43.34,TPOS_S,-,-,-,-
2025-08-28 16:47:06:195,H,720032,-21.10,TPOS_E,720992,-21.1328,960,-0.0281
2025-08-28 16:47:06:395,N,-3297827,41.19,TPOS_E,-3298954,41.2070,-1127,0.0141
2025-08-28 16:47:11:003,V,428793,-12.57,TPOS_E,429172,-12.5794,379,-0.0111
