DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2025-09-01 13:58:26:624,R,-1201548,-61.40,TPOS,-1201584,-61.4000,-36,-0.0018
2025-09-01 13:58:27:014,R,-1201548,-61.40,TPOS_S,-,-,-,-
2025-09-01 13:58:27:117,R,-1201577,-61.40,TPOS_E,-1201584,-61.4000,-7,-0.0004
2025-09-01 13:58:27:160,P,-1602263,-163.75,TPOS,-1551002,-158.5099,51261,5.2388
2025-09-01 13:58:27:343,P,-1602263,-163.75,TPOS_S,-,-,-,-
2025-09-01 13:58:27:945,P,-1550516,-158.46,TPOS_E,-1551002,-158.5099,-486,-0.0497
2025-09-01 13:58:28:167,P,-1550516,-158.46,TPOS,-1546110,-158.0100,4406,0.4503
2025-09-01 13:58:28:353,P,-1550516,-158.46,TPOS_S,-,-,-,-
2025-09-01 13:58:28:555,P,-1545868,-157.99,TPOS_E,-1546110,-158.0100,-242,-0.0247
2025-09-01 13:58:28:777,P,-1545868,-157.99,TPOS,-1541218,-157.5100,4650,0.4752
2025-09-01 13:58:28:961,P,-1545868,-157.99,TPOS_S,-,-,-,-
2025-09-01 13:58:29:163,P,-1541022,-157.49,TPOS_E,-1541218,-157.5100,-196,-0.0200
2025-09-01 13:58:29:385,P,-1541022,-157.49,TPOS,-1536325,-157.0099,4697,0.4800
2025-09-01 13:58:29:568,P,-1541022,-157.49,TPOS_S,-,-,-,-
2025-09-01 13:58:29:770,P,-1536153,-156.99,TPOS_E,-1536325,-157.0099,-172,-0.0176
2025-09-01 13:58:29:992,P,-1536153,-156.99,TPOS,-1531433,-156.5100,4720,0.4824
2025-09-01 13:58:30:175,P,-1536153,-156.99,TPOS_S,-,-,-,-
2025-09-01 13:58:30:377,P,-1531263,-156.49,TPOS_E,-1531433,-156.5100,-170,-0.0174
2025-09-01 13:58:30:600,P,-1531263,-156.49,TPOS,-1526540,-156.0099,4723,0.4827
2025-09-01 13:58:30:783,P,-1531263,-156.49,TPOS_S,-,-,-,-
2025-09-01 13:58:30:985,P,-1526332,-155.99,TPOS_E,-1526540,-156.0099,-208,-0.0213
2025-09-01 13:58:31:207,P,-1526332,-155.99,TPOS,-1521648,-155.5100,4684,0.4787
2025-09-01 13:58:31:390,P,-1526332,-155.99,TPOS_S,-,-,-,-
2025-09-01 13:58:31:591,P,-1521428,-155.49,TPOS_E,-1521648,-155.5100,-220,-0.0225
2025-09-01 13:58:31:816,P,-1521428,-155.49,TPOS,-1516755,-155.0099,4673,0.4776
2025-09-01 13:58:31:999,P,-1521428,-155.49,TPOS_S,-,-,-,-
2025-09-01 13:58:32:200,P,-1516531,-154.99,TPOS_E,-1516755,-155.0099,-224,-0.0229
2025-09-01 13:58:32:423,P,-1516531,-154.99,TPOS,-1511863,-154.5100,4668,0.4771
2025-09-01 13:58:32:587,P,-1516531,-154.99,TPOS_S,-,-,-,-
2025-09-01 13:58:32:789,P,-1511587,-154.48,TPOS_E,-1511863,-154.5100,-276,-0.0282
2025-09-01 13:58:33:011,P,-1511587,-154.48,TPOS,-1506970,-154.0099,4617,0.4718
2025-09-01 13:58:33:194,P,-1511587,-154.48,TPOS_S,-,-,-,-
2025-09-01 13:58:33:395,P,-1506642,-153.98,TPOS_E,-1506970,-154.0099,-328,-0.0335
2025-09-01 13:58:33:618,P,-1506642,-153.98,TPOS,-1502078,-153.5100,4564,0.4664
2025-09-01 13:58:33:803,P,-1506642,-153.98,TPOS_S,-,-,-,-
2025-09-01 13:58:34:004,P,-1501725,-153.47,TPOS_E,-1502078,-153.5100,-353,-0.0361
2025-09-01 13:58:34:226,P,-1501725,-153.47,TPOS,-1497186,-153.0100,4539,0.4639
2025-09-01 13:58:34:409,P,-1501725,-153.47,TPOS_S,-,-,-,-
2025-09-01 13:58:34:610,P,-1496832,-152.97,TPOS_E,-1497186,-153.0100,-354,-0.0362
2025-09-01 13:58:34:832,P,-1496832,-152.97,TPOS,-1492293,-152.5099,4539,0.4639
2025-09-01 13:58:35:016,P,-1496832,-152.97,TPOS_S,-,-,-,-
2025-09-01 13:58:35:218,P,-1491931,-152.47,TPOS_E,-1492293,-152.5099,-362,-0.0370
