DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2025-09-01 16:18:18:754,Y,-1111699,-18.94,TPOS,-1045030,-17.8001,66669,1.1356
2025-09-01 16:18:18:899,X,-958169,-16.32,TPOS,-917412,-15.6263,40757,0.6942
2025-09-01 16:18:19:001,Y,-1111699,-18.94,TPOS_S,-,-,-,-
2025-09-01 16:18:19:127,X,-958169,-16.32,TPOS_S,-,-,-,-
2025-09-01 16:18:19:696,X,-917275,-15.62,TPOS_E,-917412,-15.6263,-137,-0.0023
2025-09-01 16:18:19:696,Y,-1044755,-17.80,TPOS_E,-1045030,-17.8001,-275,-0.0047
2025-09-01 16:18:20:370,Y,-1044755,-17.80,TPOS,-1007069,-17.1535,37686,0.6419
2025-09-01 16:18:20:516,X,-917275,-15.62,TPOS,-754528,-12.8519,162747,2.7721
2025-09-01 16:18:20:601,Y,-1044755,-17.80,TPOS_S,-,-,-,-
2025-09-01 16:18:20:745,X,-917275,-15.62,TPOS_S,-,-,-,-
2025-09-01 16:18:21:715,Y,-1007486,-17.16,TPOS_E,-1007069,-17.1535,417,0.0071
2025-09-01 16:18:22:117,X,-754299,-12.85,TPOS_E,-754528,-12.8519,-229,-0.0039
2025-09-01 16:18:22:589,P,-1026821,-104.94,TPOS,-1174284,-120.0099,-147463,-15.0705
2025-09-01 16:18:22:610,V,833517,-24.43,TPOS,826417,-24.2229,-7100,0.2081
2025-09-01 16:18:22:631,H,902357,-26.45,TPOS,847934,-24.8536,-54423,1.5952
2025-09-01 16:18:22:653,N,-3537326,44.18,TPOS,-2334974,29.1660,1202352,-15.0185
2025-09-01 16:18:22:716,Y,-1007486,-17.16,TPOS,-1076552,-18.3370,-69066,-1.1764
2025-09-01 16:18:22:863,X,-754299,-12.85,TPOS,-792634,-13.5010,-38335,-0.6530
2025-09-01 16:18:22:946,P,-1026821,-104.94,TPOS_S,-,-,-,-
2025-09-01 16:18:23:089,V,833517,-24.43,TPOS_S,-,-,-,-
2025-09-01 16:18:23:212,H,902357,-26.45,TPOS_S,-,-,-,-
2025-09-01 16:18:23:233,V,826196,-24.22,TPOS_E,826417,-24.2229,221,-0.0065
2025-09-01 16:18:23:337,N,-3537326,44.18,TPOS_S,-,-,-,-
2025-09-01 16:18:23:459,Y,-1007486,-17.16,TPOS_S,-,-,-,-
2025-09-01 16:18:23:603,H,847128,-24.83,TPOS_E,847934,-24.8536,806,-0.0236
2025-09-01 16:18:23:603,X,-754299,-12.85,TPOS_S,-,-,-,-
2025-09-01 16:18:24:005,P,-1174753,-120.06,TPOS_E,-1174284,-120.0099,469,0.0479
2025-09-01 16:18:24:005,X,-793046,-13.51,TPOS_E,-792634,-13.5010,412,0.0070
2025-09-01 16:18:24:005,Y,-1077092,-18.35,TPOS_E,-1076552,-18.3370,540,0.0092
2025-09-01 16:18:29:222,N,-2333847,29.15,TPOS_E,-2334974,29.1660,-1127,0.0141
