DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2025-09-02 11:37:55:621,Y,-806216,-13.73,TPOS_Z,-,-,-,-
2025-09-02 11:37:55:622,Y,0,0.00,TPOS_I,-,-,-,-
2025-09-02 11:37:56:971,P,-9379,-0.96,TPOS_Z,-,-,-,-
2025-09-02 11:37:57:196,P,0,0.00,TPOS_I,-,-,-,-
2025-09-02 11:37:57:440,Y,0,0.00,TPOS,-1144831,-19.5000,-1144831,-19.5000
2025-09-02 11:37:57:709,Y,0,0.00,TPOS_S,-,-,-,-
2025-09-02 11:37:59:714,X,-1139681,-19.41,TPOS_Z,-,-,-,-
2025-09-02 11:37:59:715,X,0,0.00,TPOS_I,-,-,-,-
2025-09-02 11:38:02:329,N,-1093250,13.66,TPOS_Z,-,-,-,-
2025-09-02 11:38:02:329,N,0,0.00,TPOS_I,-,-,-,-
2025-09-02 11:38:03:921,Z,-2861266,-32.49,TPOS_Z,-,-,-,-
2025-09-02 11:38:03:922,Z,0,0.00,TPOS_I,-,-,-,-
2025-09-02 11:38:04:515,Y,-1145390,-19.51,TPOS_E,-1144831,-19.5000,559,0.0095
2025-09-02 11:38:04:739,Z,0,0.00,TPOS,-4403200,-50.0000,-4403200,-50.0000
2025-09-02 11:38:04:760,Y,-1145390,-19.51,TPOS,-176127,-3.0000,969263,16.5095
2025-09-02 11:38:04:783,P,0,0.00,TPOS,-1614506,-164.9999,-1614506,-164.9999
2025-09-02 11:38:04:807,N,0,0.00,TPOS,-5564043,69.5000,-5564043,69.5000
2025-09-02 11:38:04:830,X,0,0.00,TPOS,-1291605,-22.0000,-1291605,-22.0000
2025-09-02 11:38:05:153,Z,0,0.00,TPOS_S,-,-,-,-
2025-09-02 11:38:05:153,Y,-1145390,-19.51,TPOS_S,-,-,-,-
2025-09-02 11:38:05:454,P,0,0.00,TPOS_S,-,-,-,-
2025-09-02 11:38:05:454,N,0,0.00,TPOS_S,-,-,-,-
2025-09-02 11:38:05:454,X,0,0.00,TPOS_S,-,-,-,-
2025-09-02 11:38:11:141,H,822541,-24.11,TPOS_Z,-,-,-,-
2025-09-02 11:38:11:141,H,0,0.00,TPOS_I,-,-,-,-
2025-09-02 11:38:11:738,H,0,0.00,TPOS,1671740,-49.0000,1671740,-49.0000
2025-09-02 11:38:11:922,H,0,0.00,TPOS_S,-,-,-,-
2025-09-02 11:38:13:528,X,-1292007,-22.01,TPOS_E,-1291605,-22.0000,402,0.0068
2025-09-02 11:38:13:953,X,-1292007,-22.01,TPOS,-176127,-3.0000,1115880,19.0069
2025-09-02 11:38:14:137,X,-1292007,-22.01,TPOS_S,-,-,-,-
2025-09-02 11:38:14:539,Y,-176301,-3.00,TPOS_E,-176127,-3.0000,174,0.0030
2025-09-02 11:38:15:346,P,-1614814,-165.03,TPOS_E,-1614506,-164.9999,308,0.0315
2025-09-02 11:38:15:773,P,-1614814,-165.03,TPOS,-9784,-0.9999,1605030,164.0315
2025-09-02 11:38:15:956,P,-1614814,-165.03,TPOS_S,-,-,-,-
2025-09-02 11:38:22:170,H,1671660,-49.00,TPOS_E,1671740,-49.0000,80,-0.0023
2025-09-02 11:38:22:597,H,1671660,-49.00,TPOS,823291,-24.1313,-848369,24.8663
2025-09-02 11:38:22:782,H,1671660,-49.00,TPOS_S,-,-,-,-
2025-09-02 11:38:26:191,P,-9379,-0.96,TPOS_E,-9784,-0.9999,-405,-0.0414
2025-09-02 11:38:26:738,X,-176264,-3.00,TPOS_E,-176127,-3.0000,137,0.0023
2025-09-02 11:38:27:899,H,822540,-24.11,TPOS_E,823291,-24.1313,751,-0.0220
2025-09-02 11:38:30:622,Z,-4403538,-50.00,TPOS_E,-4403200,-50.0000,338,0.0038
2025-09-02 11:38:31:046,Z,-4403538,-50.00,TPOS,-2862080,-32.5000,1541458,17.5038
2025-09-02 11:38:31:231,Z,-4403538,-50.00,TPOS_S,-,-,-,-
2025-09-02 11:38:32:635,N,-5565059,69.51,TPOS_E,-5564043,69.5000,1016,-0.0127
2025-09-02 11:38:33:060,N,-5565059,69.51,TPOS,-1094395,13.6700,4470664,-55.8427
2025-09-02 11:38:33:244,N,-5565059,69.51,TPOS_S,-,-,-,-
2025-09-02 11:38:33:848,R,-1200727,-61.36,TPOS_Z,-,-,-,-
2025-09-02 11:38:33:848,R,0,0.00,TPOS_I,-,-,-,-
2025-09-02 11:38:34:260,R,0,0.00,TPOS,-2328803,-119.0000,-2328803,-119.0000
2025-09-02 11:38:34:384,V,838397,-24.57,TPOS_Z,-,-,-,-
2025-09-02 11:38:34:427,V,0,0.00,TPOS_I,-,-,-,-
2025-09-02 11:38:34:427,R,0,0.00,TPOS_S,-,-,-,-
2025-09-02 11:38:35:025,V,0,0.00,TPOS,1671740,-49.0000,1671740,-49.0000
2025-09-02 11:38:35:208,V,0,0.00,TPOS_S,-,-,-,-
2025-09-02 11:38:40:021,Z,-2861336,-32.49,TPOS_E,-2862080,-32.5000,-744,-0.0084
2025-09-02 11:38:43:830,V,1672555,-49.02,TPOS_E,1671740,-49.0000,-815,0.0239
2025-09-02 11:38:44:255,V,1672555,-49.02,TPOS,838712,-24.5833,-833843,24.4406
2025-09-02 11:38:44:439,V,1672555,-49.02,TPOS_S,-,-,-,-
2025-09-02 11:38:47:046,R,-2329410,-119.03,TPOS_E,-2328803,-119.0000,607,0.0310
2025-09-02 11:38:47:471,R,-2329410,-119.03,TPOS,-1201584,-61.4000,1127826,57.6310
2025-09-02 11:38:47:677,R,-2329410,-119.03,TPOS_S,-,-,-,-
2025-09-02 11:38:50:485,V,838416,-24.57,TPOS_E,838712,-24.5833,296,-0.0087
2025-09-02 11:38:50:707,X,-176264,-3.00,TPOS,-1139178,-19.4037,-962914,-16.4014
2025-09-02 11:38:50:729,Y,-176301,-3.00,TPOS,-805650,-13.7227,-629349,-10.7197
2025-09-02 11:38:50:895,X,-176264,-3.00,TPOS_S,-,-,-,-
2025-09-02 11:38:51:041,Y,-176301,-3.00,TPOS_S,-,-,-,-
2025-09-02 11:38:53:848,R,-1200910,-61.37,TPOS_E,-1201584,-61.4000,-674,-0.0344
2025-09-02 11:38:54:652,N,-1093243,13.66,TPOS_E,-1094395,13.6700,-1152,0.0144
2025-09-02 11:38:54:854,Y,-806220,-13.73,TPOS_E,-805650,-13.7227,570,0.0097
2025-09-02 11:38:56:658,X,-1139610,-19.41,TPOS_E,-1139178,-19.4037,432,0.0074
