DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2025-09-02 20:46:57:398,P,-9340,-0.95,TPOS,-48924,-5.0000,-39584,-4.0454
2025-09-02 20:46:57:420,Z,-2861228,-32.49,TPOS,-440320,-5.0000,2420908,27.4903
2025-09-02 20:46:57:443,X,-1139622,-19.41,TPOS,-293546,-5.0000,846076,14.4113
2025-09-02 20:46:57:467,Y,-806208,-13.73,TPOS,-293546,-5.0000,512662,8.7322
2025-09-02 20:46:57:490,V,838384,-24.57,TPOS,170585,-5.0000,-667799,19.5737
2025-09-02 20:46:57:511,H,822614,-24.11,TPOS,170585,-5.0000,-652029,19.1115
2025-09-02 20:46:57:532,N,-1093239,13.66,TPOS,-400290,5.0000,692949,-8.6556
2025-09-02 20:46:57:554,R,-1201320,-61.39,TPOS,-97848,-5.0000,1103472,56.3865
2025-09-02 20:46:57:698,P,-9340,-0.95,TPOS_S,-,-,-,-
2025-09-02 20:46:57:845,Z,-2861228,-32.49,TPOS_S,-,-,-,-
2025-09-02 20:46:57:971,X,-1139622,-19.41,TPOS_S,-,-,-,-
2025-09-02 20:46:58:054,P,-49110,-5.02,TPOS_E,-48924,-5.0000,186,0.0190
2025-09-02 20:46:58:078,Y,-806208,-13.73,TPOS_S,-,-,-,-
2025-09-02 20:46:58:125,P,-49110,-5.02,TPOS,-1556116,-159.0325,-1507006,-154.0136
2025-09-02 20:46:58:229,V,838384,-24.57,TPOS_S,-,-,-,-
2025-09-02 20:46:58:336,H,822614,-24.11,TPOS_S,-,-,-,-
2025-09-02 20:46:58:482,N,-1093239,13.66,TPOS_S,-,-,-,-
2025-09-02 20:46:58:608,R,-1201320,-61.39,TPOS_S,-,-,-,-
2025-09-02 20:46:58:732,P,-49110,-5.02,TPOS_S,-,-,-,-
2025-09-02 20:47:02:138,N,-399271,4.99,TPOS_E,-400290,5.0000,-1019,0.0127
2025-09-02 20:47:02:341,H,169785,-4.98,TPOS_E,170585,-5.0000,800,-0.0234
2025-09-02 20:47:02:565,N,-399271,4.99,TPOS,-5084742,63.5131,-4685471,58.5258
2025-09-02 20:47:02:588,H,169785,-4.98,TPOS,1467335,-43.0087,1297550,-38.0322
2025-09-02 20:47:02:751,N,-399271,4.99,TPOS_S,-,-,-,-
2025-09-02 20:47:02:896,H,169785,-4.98,TPOS_S,-,-,-,-
2025-09-02 20:47:03:097,V,170208,-4.99,TPOS_E,170585,-5.0000,377,-0.0111
2025-09-02 20:47:03:501,Y,-293749,-5.00,TPOS_E,-293546,-5.0000,203,0.0035
2025-09-02 20:47:03:524,V,170208,-4.99,TPOS,819229,-24.0122,649021,-19.0233
2025-09-02 20:47:03:567,Y,-293749,-5.00,TPOS,-836900,-14.2550,-543151,-9.2515
2025-09-02 20:47:03:711,V,170208,-4.99,TPOS_S,-,-,-,-
2025-09-02 20:47:03:855,Y,-293749,-5.00,TPOS_S,-,-,-,-
2025-09-02 20:47:06:864,R,-97747,-4.99,TPOS_E,-97848,-5.0000,-101,-0.0052
2025-09-02 20:47:07:267,Y,-837369,-14.26,TPOS_E,-836900,-14.2550,469,0.0080
2025-09-02 20:47:07:267,V,820057,-24.04,TPOS_E,819229,-24.0122,-828,0.0243
