DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2025-09-04 11:13:11:585,Y,-1326574,-22.60,TPOS,-1252583,-21.3353,73991,1.2603
2025-09-04 11:13:11:753,X,-941666,-16.04,TPOS,-911765,-15.5302,29901,0.5093
2025-09-04 11:13:11:836,Y,-1326574,-22.60,TPOS_S,-,-,-,-
2025-09-04 11:13:11:962,X,-941666,-16.04,TPOS_S,-,-,-,-
2025-09-04 11:13:12:754,Y,-1252422,-21.33,TPOS_E,-1252583,-21.3353,-161,-0.0027
2025-09-04 11:13:12:754,X,-912135,-15.54,TPOS_E,-911765,-15.5302,370,0.0063
2025-09-04 11:13:13:371,Y,-1252422,-21.33,TPOS,-29354,-0.5000,1223068,20.8326
2025-09-04 11:13:13:478,X,-912135,-15.54,TPOS,-1324434,-22.5592,-412299,-7.0227
2025-09-04 11:13:13:604,Y,-1252422,-21.33,TPOS_S,-,-,-,-
2025-09-04 11:13:13:709,X,-912135,-15.54,TPOS_S,-,-,-,-
2025-09-04 11:13:16:723,X,-1324667,-22.56,TPOS_E,-1324434,-22.5592,233,0.0040
2025-09-04 11:13:25:166,Y,-29503,-0.50,TPOS_E,-29354,-0.5000,149,0.0025
