DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2025-09-04 14:21:59:347,Z,-3038857,-34.51,TPOS,-2862080,-32.5000,176777,2.0074
2025-09-04 14:21:59:368,X,-843168,-14.36,TPOS,-1139178,-19.4037,-296010,-5.0420
2025-09-04 14:21:59:390,Y,-509687,-8.68,TPOS,-805650,-13.7227,-295963,-5.0412
2025-09-04 14:21:59:412,V,810474,-23.76,TPOS,838712,-24.5833,28238,-0.8277
2025-09-04 14:21:59:433,H,798818,-23.41,TPOS,823291,-24.1313,24473,-0.7173
2025-09-04 14:21:59:456,R,-1178454,-60.22,TPOS,-1201584,-61.4000,-23130,-1.1819
2025-09-04 14:21:59:644,Z,-3038857,-34.51,TPOS_S,-,-,-,-
2025-09-04 14:21:59:771,X,-843168,-14.36,TPOS_S,-,-,-,-
2025-09-04 14:21:59:897,Y,-509687,-8.68,TPOS_S,-,-,-,-
2025-09-04 14:22:00:044,V,810474,-23.76,TPOS_S,-,-,-,-
2025-09-04 14:22:00:148,H,798818,-23.41,TPOS_S,-,-,-,-
2025-09-04 14:22:00:295,V,839626,-24.61,TPOS_E,838712,-24.5833,-914,0.0268
2025-09-04 14:22:00:295,R,-1178454,-60.22,TPOS_S,-,-,-,-
2025-09-04 14:22:00:497,H,824113,-24.16,TPOS_E,823291,-24.1313,-822,0.0241
2025-09-04 14:22:00:699,R,-1201772,-61.41,TPOS_E,-1201584,-61.4000,188,0.0096
2025-09-04 14:22:00:900,Z,-2861357,-32.49,TPOS_E,-2862080,-32.5000,-723,-0.0082
2025-09-04 14:22:01:703,Y,-806182,-13.73,TPOS_E,-805650,-13.7227,532,0.0091
2025-09-04 14:22:01:905,X,-1139530,-19.41,TPOS_E,-1139178,-19.4037,352,0.0060
