
2025-09-04 16:47:22:488 User  @on_emcStartInitRobot_clicked
2025-09-04 16:47:23:749 Info  @start emc robot initialization
2025-09-04 16:47:23:750 Info  @Start Robot Initialization (motion control)
2025-09-04 16:47:23:750 Info  @... init robot (20) (motion control)
2025-09-04 16:47:23:751 Info  @switch LED light to Red
2025-09-04 16:47:23:751 DEBUG @S.SC state (5, 21)
2025-09-04 16:47:23:751 DEBUG @E.SC state (5, 21)
2025-09-04 16:47:23:752 DEBUG @S.VE state (5, 21)
2025-09-04 16:47:23:752 DEBUG @E.VE state (5, 21)
2025-09-04 16:47:23:752 DEBUG @S.MW state (5, 21)
2025-09-04 16:47:23:793 DEBUG @E.MW state (5, 21)
2025-09-04 16:47:23:973 MCU   @set motor P sensors to 'stop'
2025-09-04 16:47:23:973 MCU   @set motor R sensors to 'stop'
2025-09-04 16:47:23:995 MCU   @[X] start searching reference
2025-09-04 16:47:24:338 MCU   @[Y] start searching reference
2025-09-04 16:47:24:684 MCU   @[Z] start searching reference
2025-09-04 16:47:33:587 MCU   @[Y] stopped by sensor L
2025-09-04 16:47:33:587 MCU   @[Y] reset physical position to 0
2025-09-04 16:47:33:790 MCU   @[Y] reference found (SENSOR)
2025-09-04 16:47:33:791 MCU   @[Y] max: 0.00
2025-09-04 16:47:33:791 MCU   @[P] start searching reference
2025-09-04 16:47:34:136 MCU   @[N] start searching reference
2025-09-04 16:47:34:950 MCU   @[P] stopped by sensor L
2025-09-04 16:47:35:173 MCU   @[P] reset physical position to 0
2025-09-04 16:47:35:376 MCU   @[P] reference found (SENSOR)
2025-09-04 16:47:35:376 MCU   @[P] max: 0.00
2025-09-04 16:47:35:377 MCU   @[Y] start clearing: -19.50
2025-09-04 16:47:37:900 MCU   @[X] stopped by sensor L
2025-09-04 16:47:37:900 MCU   @[X] reset physical position to 0
2025-09-04 16:47:38:102 MCU   @[X] reference found (SENSOR)
2025-09-04 16:47:38:102 MCU   @[X] max: 0.00
2025-09-04 16:47:40:300 MCU   @[N] stopped by sensor L
2025-09-04 16:47:40:300 MCU   @[N] reset physical position to 0
2025-09-04 16:47:40:502 MCU   @[N] reference found (SENSOR)
2025-09-04 16:47:40:502 MCU   @[N] min: 0.00
2025-09-04 16:47:41:697 MCU   @[Z] stopped by sensor L
2025-09-04 16:47:41:698 MCU   @[Z] reset physical position to 0
2025-09-04 16:47:41:900 MCU   @[Z] reference found (SENSOR)
2025-09-04 16:47:41:900 MCU   @[Z] max: 0.00
2025-09-04 16:47:42:692 MCU   @[Y] motor cleared
2025-09-04 16:47:42:692 MCU   @[Y] min: -29.51
2025-09-04 16:47:42:693 MCU   @[Z] start clearing: -50.00
2025-09-04 16:47:42:714 MCU   @[Y] start moving to max pos: -3.00
2025-09-04 16:47:42:740 MCU   @[P] start clearing: -165.00
2025-09-04 16:47:42:762 MCU   @[N] start clearing: 69.50
2025-09-04 16:47:42:784 MCU   @[X] start clearing: -22.00
2025-09-04 16:47:42:809 MCU   @[H] start searching reference
2025-09-04 16:47:48:933 MCU   @[H] stopped by sensor L
2025-09-04 16:47:49:135 MCU   @[H] reset physical position to 0
2025-09-04 16:47:49:336 MCU   @[H] reference found (SENSOR)
2025-09-04 16:47:49:336 MCU   @[H] max: 0.00
2025-09-04 16:47:49:358 MCU   @[H] start clearing: -49.00
2025-09-04 16:47:51:930 MCU   @[X] motor cleared
2025-09-04 16:47:51:932 MCU   @[X] min: -32.00
2025-09-04 16:47:52:133 MCU   @[X] start moving to max pos: -3.00
2025-09-04 16:47:52:323 MCU   @[Y] motor reached max pos
2025-09-04 16:47:53:550 MCU   @[P] motor cleared
2025-09-04 16:47:53:550 MCU   @[P] min: -165.04
2025-09-04 16:47:53:752 MCU   @[P] start moving to home: -1.00
2025-09-04 16:47:59:983 MCU   @[H] motor cleared
2025-09-04 16:47:59:984 MCU   @[H] min: -49.01
2025-09-04 16:48:00:185 MCU   @[H] start moving to home: -24.13
2025-09-04 16:48:04:434 MCU   @[P] motor homed
2025-09-04 16:48:04:435 MCU   @[R] start searching reference
2025-09-04 16:48:04:969 MCU   @[X] motor reached max pos
2025-09-04 16:48:05:539 MCU   @[H] motor homed
2025-09-04 16:48:05:539 MCU   @[V] start searching reference
2025-09-04 16:48:08:248 MCU   @[Z] motor cleared
2025-09-04 16:48:08:249 MCU   @[Z] min: -50.01
2025-09-04 16:48:08:453 MCU   @[Z] start moving to home: -32.50
2025-09-04 16:48:10:891 MCU   @[N] motor cleared
2025-09-04 16:48:10:891 MCU   @[N] max: 69.51
2025-09-04 16:48:10:914 MCU   @[N] start moving to home: 13.67
2025-09-04 16:48:12:118 MCU   @[V] stopped by sensor L
2025-09-04 16:48:12:119 MCU   @[V] reset physical position to 0
2025-09-04 16:48:12:322 MCU   @[V] reference found (SENSOR)
2025-09-04 16:48:12:322 MCU   @[V] max: 0.00
2025-09-04 16:48:12:344 MCU   @[V] start clearing: -49.00
2025-09-04 16:48:13:532 MCU   @[R] stopped by sensor R
2025-09-04 16:48:13:534 MCU   @[R] reset physical position to 0
2025-09-04 16:48:13:738 MCU   @[R] reference found (SENSOR)
2025-09-04 16:48:13:739 MCU   @[R] max: 0.00
2025-09-04 16:48:13:761 MCU   @[R] start clearing: -119.00
2025-09-04 16:48:17:373 MCU   @[Z] motor homed
2025-09-04 16:48:21:986 MCU   @[V] motor cleared
2025-09-04 16:48:21:986 MCU   @[V] min: -49.02
2025-09-04 16:48:22:187 MCU   @[V] start moving to home: -24.58
2025-09-04 16:48:28:824 MCU   @[V] motor homed
2025-09-04 16:48:28:825 MCU   @[X] start moving to home: -19.40
2025-09-04 16:48:28:848 MCU   @[Y] start moving to home: -13.72
2025-09-04 16:48:29:569 MCU   @[R] motor cleared
2025-09-04 16:48:29:570 MCU   @[R] min: -119.02
2025-09-04 16:48:29:771 MCU   @[R] start moving to home: -61.40
2025-09-04 16:48:33:195 MCU   @[N] motor homed
2025-09-04 16:48:33:195 MCU   @[Y] motor homed
2025-09-04 16:48:35:404 MCU   @[X] motor homed
2025-09-04 16:48:37:816 MCU   @[R] motor homed
