DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-02-25 16:39:08:267,P,-1282926,-131.11,TPOS,-1236339,-126.3519,46587,4.7611
2026-02-25 16:39:08:289,V,1409099,-41.30,TPOS,679275,-19.9101,-729824,21.3917
2026-02-25 16:39:08:311,H,670310,-19.65,TPOS,888095,-26.0307,217785,-6.3834
2026-02-25 16:39:08:333,N,-2028220,25.33,TPOS,-2724155,34.0272,-695935,8.6929
2026-02-25 16:39:08:564,P,-1282926,-131.11,TPOS_S,-,-,-,-
2026-02-25 16:39:08:689,V,1409099,-41.30,TPOS_S,-,-,-,-
2026-02-25 16:39:08:816,H,670310,-19.65,TPOS_S,-,-,-,-
2026-02-25 16:39:08:901,P,-1235453,-126.26,TPOS_E,-1236339,-126.3519,-886,-0.0905
2026-02-25 16:39:08:944,N,-2028220,25.33,TPOS_S,-,-,-,-
2026-02-25 16:39:09:947,H,889126,-26.06,TPOS_E,888095,-26.0307,-1031,0.0302
2026-02-25 16:39:12:357,N,-2725326,34.04,TPOS_E,-2724155,34.0272,1171,-0.0146
2026-02-25 16:39:13:362,V,678960,-19.90,TPOS_E,679275,-19.9101,315,-0.0092
