DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-02-25 16:44:33:313,P,-1020965,-104.34,TPOS,-1021640,-104.4100,-675,-0.0690
2026-02-25 16:44:33:335,R,-1173775,-59.98,TPOS,-1174186,-60.0000,-411,-0.0210
2026-02-25 16:44:33:608,P,-1020965,-104.34,TPOS_S,-,-,-,-
2026-02-25 16:44:33:714,P,-1021475,-104.39,TPOS_E,-1021640,-104.4100,-165,-0.0169
2026-02-25 16:44:33:735,R,-1173775,-59.98,TPOS_S,-,-,-,-
2026-02-25 16:44:33:936,R,-1173784,-59.98,TPOS_E,-1174186,-60.0000,-402,-0.0205
2026-02-25 16:44:34:158,P,-1021475,-104.39,TPOS,-1026532,-104.9099,-5057,-0.5168
2026-02-25 16:44:34:346,P,-1021475,-104.39,TPOS_S,-,-,-,-
2026-02-25 16:44:34:549,P,-1027234,-104.98,TPOS_E,-1026532,-104.9099,702,0.0717
2026-02-25 16:44:34:772,P,-1027234,-104.98,TPOS,-1031425,-105.4100,-4191,-0.4283
2026-02-25 16:44:34:960,P,-1027234,-104.98,TPOS_S,-,-,-,-
2026-02-25 16:44:35:162,P,-1032072,-105.48,TPOS_E,-1031425,-105.4100,647,0.0661
2026-02-25 16:44:35:384,P,-1032072,-105.48,TPOS,-1036317,-105.9099,-4245,-0.4338
2026-02-25 16:44:35:573,P,-1032072,-105.48,TPOS_S,-,-,-,-
2026-02-25 16:44:35:775,P,-1036950,-105.97,TPOS_E,-1036317,-105.9099,633,0.0647
2026-02-25 16:44:35:999,P,-1036950,-105.97,TPOS,-1041210,-106.4100,-4260,-0.4354
2026-02-25 16:44:36:188,P,-1036950,-105.97,TPOS_S,-,-,-,-
2026-02-25 16:44:36:388,P,-1041809,-106.47,TPOS_E,-1041210,-106.4100,599,0.0612
2026-02-25 16:44:36:610,P,-1041809,-106.47,TPOS,-1046102,-106.9099,-4293,-0.4387
2026-02-25 16:44:36:799,P,-1041809,-106.47,TPOS_S,-,-,-,-
2026-02-25 16:44:37:000,P,-1046691,-106.97,TPOS_E,-1046102,-106.9099,589,0.0602
