DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-02-26 13:36:51:409,Y,0,0.00,TPOS_Z,-,-,-,-
2026-02-26 13:36:51:410,Y,0,0.00,TPOS_I,-,-,-,-
2026-02-26 13:36:52:743,P,0,0.00,TPOS_Z,-,-,-,-
2026-02-26 13:36:52:988,P,0,0.00,TPOS_I,-,-,-,-
2026-02-26 13:36:53:235,Y,0,0.00,TPOS,-1144831,-19.5000,-1144831,-19.5000
2026-02-26 13:36:53:529,Y,0,0.00,TPOS_S,-,-,-,-
2026-02-26 13:36:55:538,X,0,0.00,TPOS_Z,-,-,-,-
2026-02-26 13:36:55:539,X,0,0.00,TPOS_I,-,-,-,-
2026-02-26 13:36:57:136,Z,0,0.00,TPOS_Z,-,-,-,-
2026-02-26 13:36:57:137,Z,0,0.00,TPOS_I,-,-,-,-
2026-02-26 13:36:57:339,N,0,0.00,TPOS_Z,-,-,-,-
2026-02-26 13:36:57:340,N,0,0.00,TPOS_I,-,-,-,-
2026-02-26 13:36:59:643,Y,-1145423,-19.51,TPOS_E,-1144831,-19.5000,592,0.0101
2026-02-26 13:36:59:866,Z,0,0.00,TPOS,-4403200,-50.0000,-4403200,-50.0000
2026-02-26 13:36:59:888,Y,-1145423,-19.51,TPOS,-176127,-3.0000,969296,16.5101
2026-02-26 13:36:59:910,P,0,0.00,TPOS,-1643861,-167.9999,-1643861,-167.9999
2026-02-26 13:36:59:932,N,0,0.00,TPOS,-5564043,69.5000,-5564043,69.5000
2026-02-26 13:36:59:955,X,0,0.00,TPOS,-1291605,-22.0000,-1291605,-22.0000
2026-02-26 13:37:00:281,Z,0,0.00,TPOS_S,-,-,-,-
2026-02-26 13:37:00:281,Y,-1145423,-19.51,TPOS_S,-,-,-,-
2026-02-26 13:37:00:582,P,0,0.00,TPOS_S,-,-,-,-
2026-02-26 13:37:00:582,N,0,0.00,TPOS_S,-,-,-,-
2026-02-26 13:37:00:582,X,0,0.00,TPOS_S,-,-,-,-
2026-02-26 13:37:05:077,H,0,0.00,TPOS_Z,-,-,-,-
2026-02-26 13:37:05:279,H,0,0.00,TPOS_I,-,-,-,-
2026-02-26 13:37:05:881,H,0,0.00,TPOS,1671740,-49.0000,1671740,-49.0000
2026-02-26 13:37:06:069,H,0,0.00,TPOS_S,-,-,-,-
