DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-02-26 14:46:50:790,Y,-1128637,-19.22,TPOS,-1060791,-18.0685,67846,1.1556
2026-02-26 14:46:50:939,X,-994339,-16.94,TPOS,-955489,-16.2749,38850,0.6617
2026-02-26 14:46:51:024,Y,-1128637,-19.22,TPOS_S,-,-,-,-
2026-02-26 14:46:51:151,X,-994339,-16.94,TPOS_S,-,-,-,-
2026-02-26 14:46:51:744,X,-955423,-16.27,TPOS_E,-955489,-16.2749,-66,-0.0011
2026-02-26 14:46:51:744,Y,-1060378,-18.06,TPOS_E,-1060791,-18.0685,-413,-0.0070
2026-02-26 14:46:52:365,Y,-1060378,-18.06,TPOS,-29354,-0.5000,1031024,17.5615
2026-02-26 14:46:52:474,X,-955423,-16.27,TPOS,-1340711,-22.8364,-385288,-6.5626
2026-02-26 14:46:52:578,Y,-1060378,-18.06,TPOS_S,-,-,-,-
2026-02-26 14:46:52:703,X,-955423,-16.27,TPOS_S,-,-,-,-
2026-02-26 14:46:55:111,X,-1341112,-22.84,TPOS_E,-1340711,-22.8364,401,0.0068
2026-02-26 14:47:00:534,Y,-29378,-0.50,TPOS_E,-29354,-0.5000,24,0.0004
