DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-02-26 15:07:07:513,Z,-2986261,-33.91,TPOS,-2809241,-31.9000,177020,2.0101
2026-02-26 15:07:07:536,X,-907703,-15.46,TPOS,-1165362,-19.8497,-257659,-4.3887
2026-02-26 15:07:07:558,Y,-485021,-8.26,TPOS,-772884,-13.1646,-287863,-4.9032
2026-02-26 15:07:07:580,V,746754,-21.89,TPOS,775745,-22.7377,28991,-0.8497
2026-02-26 15:07:07:602,H,915400,-26.83,TPOS,823769,-24.1453,-91631,2.6858
2026-02-26 15:07:07:623,R,-1100205,-56.22,TPOS,-1174186,-60.0000,-73981,-3.7804
2026-02-26 15:07:07:812,Z,-2986261,-33.91,TPOS_S,-,-,-,-
2026-02-26 15:07:07:916,X,-907703,-15.46,TPOS_S,-,-,-,-
2026-02-26 15:07:08:062,Y,-485021,-8.26,TPOS_S,-,-,-,-
2026-02-26 15:07:08:166,V,746754,-21.89,TPOS_S,-,-,-,-
2026-02-26 15:07:08:313,H,915400,-26.83,TPOS_S,-,-,-,-
2026-02-26 15:07:08:437,V,776692,-22.77,TPOS_E,775745,-22.7377,-947,0.0278
2026-02-26 15:07:08:458,R,-1100205,-56.22,TPOS_S,-,-,-,-
2026-02-26 15:07:08:861,Z,-2808378,-31.89,TPOS_E,-2809241,-31.9000,-863,-0.0098
2026-02-26 15:07:08:861,H,822667,-24.11,TPOS_E,823769,-24.1453,1102,-0.0323
2026-02-26 15:07:09:063,R,-1174663,-60.02,TPOS_E,-1174186,-60.0000,477,0.0244
2026-02-26 15:07:09:665,X,-1165827,-19.86,TPOS_E,-1165362,-19.8497,465,0.0079
2026-02-26 15:07:09:665,Y,-773619,-13.18,TPOS_E,-772884,-13.1646,735,0.0125
