DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-02-26 15:07:43:541,Y,-773619,-13.18,TPOS,-968422,-16.4952,-194803,-3.3181
2026-02-26 15:07:43:687,X,-1165827,-19.86,TPOS,-1128346,-19.2192,37481,0.6384
2026-02-26 15:07:43:770,Y,-773619,-13.18,TPOS_S,-,-,-,-
2026-02-26 15:07:43:898,X,-1165827,-19.86,TPOS_S,-,-,-,-
2026-02-26 15:07:45:095,X,-1128845,-19.23,TPOS_E,-1128346,-19.2192,499,0.0085
2026-02-26 15:07:45:095,Y,-969355,-16.51,TPOS_E,-968422,-16.4952,933,0.0159
2026-02-26 15:07:45:563,P,-1555744,-158.99,TPOS,-1349131,-137.8790,206613,21.1155
2026-02-26 15:07:45:585,V,776692,-22.77,TPOS,755413,-22.1417,-21279,0.6237
2026-02-26 15:07:45:607,H,822667,-24.11,TPOS,758644,-22.2364,-64023,1.8766
2026-02-26 15:07:45:629,N,-570815,7.13,TPOS,-107410,1.3416,463405,-5.7884
2026-02-26 15:07:45:692,Y,-969355,-16.51,TPOS,-1032160,-17.5809,-62805,-1.0698
2026-02-26 15:07:45:819,X,-1128845,-19.23,TPOS,-1170116,-19.9307,-41271,-0.7030
2026-02-26 15:07:45:924,P,-1555744,-158.99,TPOS_S,-,-,-,-
2026-02-26 15:07:46:073,V,776692,-22.77,TPOS_S,-,-,-,-
2026-02-26 15:07:46:177,H,822667,-24.11,TPOS_S,-,-,-,-
2026-02-26 15:07:46:284,V,755089,-22.13,TPOS_E,755413,-22.1417,324,-0.0095
2026-02-26 15:07:46:328,N,-570815,7.13,TPOS_S,-,-,-,-
2026-02-26 15:07:46:455,Y,-969355,-16.51,TPOS_S,-,-,-,-
2026-02-26 15:07:46:580,X,-1128845,-19.23,TPOS_S,-,-,-,-
2026-02-26 15:07:46:580,H,757639,-22.21,TPOS_E,758644,-22.2364,1005,-0.0295
2026-02-26 15:07:46:983,Y,-1032718,-17.59,TPOS_E,-1032160,-17.5809,558,0.0095
2026-02-26 15:07:46:983,X,-1170570,-19.94,TPOS_E,-1170116,-19.9307,454,0.0077
2026-02-26 15:07:47:185,P,-1348161,-137.78,TPOS_E,-1349131,-137.8790,-970,-0.0991
2026-02-26 15:07:48:591,N,-106458,1.33,TPOS_E,-107410,1.3416,-952,0.0119
