
2026-02-06 10:32:30:041 Info  @UtlLogger instance created
2026-02-06 10:32:30:042 Info  @starting UroReview (SVN 820)
2026-02-06 10:32:30:355 Info  @ReviewMainWindow instance created

2026-02-06 10:32:53:550 User  @user 'Service' login
2026-02-06 10:32:53:628 Info  @UroReview launched
2026-02-06 10:32:53:629 Info  @ReviewController instance created

2026-02-06 10:33:02:510 User  @tool menu selected (Application Settings)

2026-02-06 10:33:07:012 User  @system menu selected (About)
2026-02-06 10:38:29:935 Info  @screen auto locked (Service)

2026-02-06 11:31:50:159 User  @screen unlocked by user 'Service'

2026-02-06 11:31:53:912 User  @on_startOpenCase_clicked

2026-02-06 11:32:00:890 User  @tool menu selected (Application Settings)

2026-02-06 11:34:33:171 User  @system menu selected (Exit)
2026-02-06 11:34:33:289 Info  @UroReview exited
