DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-02-26 14:30:45:612,Y,-1234030,-21.02,TPOS,-1163778,-19.8227,70252,1.1966
2026-02-26 14:30:45:763,X,-929325,-15.83,TPOS,-893709,-15.2226,35616,0.6066
2026-02-26 14:30:45:847,Y,-1234030,-21.02,TPOS_S,-,-,-,-
2026-02-26 14:30:45:996,X,-929325,-15.83,TPOS_S,-,-,-,-
2026-02-26 14:30:46:566,X,-893744,-15.22,TPOS_E,-893709,-15.2226,35,0.0006
2026-02-26 14:30:46:566,Y,-1163410,-19.82,TPOS_E,-1163778,-19.8227,-368,-0.0063
2026-02-26 14:30:47:202,Y,-1163410,-19.82,TPOS,-29354,-0.5000,1134056,19.3165
2026-02-26 14:30:47:286,X,-893744,-15.22,TPOS,-1340711,-22.8364,-446967,-7.6132
2026-02-26 14:30:47:392,Y,-1163410,-19.82,TPOS_S,-,-,-,-
2026-02-26 14:30:47:519,X,-893744,-15.22,TPOS_S,-,-,-,-
2026-02-26 14:30:50:331,X,-1341074,-22.84,TPOS_E,-1340711,-22.8364,363,0.0062
2026-02-26 14:30:56:360,Y,-29385,-0.50,TPOS_E,-29354,-0.5000,31,0.0005
