DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2025-11-07 11:25:20:532,P,-225906,-23.09,TPOS,-9784,-0.9999,216122,22.0873
2025-11-07 11:25:20:553,Z,-2448589,-27.80,TPOS,-2397542,-27.2250,51047,0.5797
2025-11-07 11:25:20:577,X,-369779,-6.30,TPOS,-1199824,-20.4367,-830045,-14.1382
2025-11-07 11:25:20:598,Y,-427825,-7.29,TPOS,-803572,-13.6873,-375747,-6.4001
2025-11-07 11:25:20:620,V,820506,-24.05,TPOS,852929,-25.0000,32423,-0.9503
2025-11-07 11:25:20:643,H,169392,-4.97,TPOS,852929,-25.0000,683537,-20.0350
2025-11-07 11:25:20:666,N,-4088334,51.07,TPOS,-838209,10.4700,3250125,-40.5970
2025-11-07 11:25:20:689,R,-860073,-43.95,TPOS,-1174186,-60.0000,-314113,-16.0509
2025-11-07 11:25:20:916,P,-225906,-23.09,TPOS_S,-,-,-,-
2025-11-07 11:25:21:040,Z,-2448589,-27.80,TPOS_S,-,-,-,-
2025-11-07 11:25:21:187,X,-369779,-6.30,TPOS_S,-,-,-,-
2025-11-07 11:25:21:311,Y,-427825,-7.29,TPOS_S,-,-,-,-
2025-11-07 11:25:21:394,Z,-2396560,-27.21,TPOS_E,-2397542,-27.2250,-982,-0.0112
2025-11-07 11:25:21:436,V,820506,-24.05,TPOS_S,-,-,-,-
2025-11-07 11:25:21:582,H,169392,-4.97,TPOS_S,-,-,-,-
2025-11-07 11:25:21:686,N,-4088334,51.07,TPOS_S,-,-,-,-
2025-11-07 11:25:21:707,V,853657,-25.02,TPOS_E,852929,-25.0000,-728,0.0213
2025-11-07 11:25:21:831,R,-860073,-43.95,TPOS_S,-,-,-,-
2025-11-07 11:25:22:233,P,-9195,-0.94,TPOS_E,-9784,-0.9999,-589,-0.0602
2025-11-07 11:25:23:237,Y,-804434,-13.70,TPOS_E,-803572,-13.6873,862,0.0147
2025-11-07 11:25:23:638,R,-1174924,-60.04,TPOS_E,-1174186,-60.0000,738,0.0377
2025-11-07 11:25:24:844,H,854069,-25.03,TPOS_E,852929,-25.0000,-1140,0.0334
2025-11-07 11:25:25:847,X,-1200256,-20.44,TPOS_E,-1199824,-20.4367,432,0.0074
2025-11-07 11:25:36:080,N,-836934,10.45,TPOS_E,-838209,10.4700,-1275,0.0159
