DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-01-07 13:18:15:816,Y,-485287,-8.27,TPOS,-484313,-8.2493,974,0.0166
2026-01-07 13:18:15:838,X,-842065,-14.34,TPOS,-841173,-14.3278,892,0.0152
2026-01-07 13:18:15:862,P,-1448569,-148.04,TPOS,-1431613,-146.3085,16956,1.7329
2026-01-07 13:18:15:883,V,806533,-23.64,TPOS,811785,-23.7940,5252,-0.1539
2026-01-07 13:18:15:903,N,-1575711,19.68,TPOS,-1708693,21.3431,-132982,1.6611
2026-01-07 13:18:16:114,Y,-485287,-8.27,TPOS_S,-,-,-,-
2026-01-07 13:18:16:219,Y,-484589,-8.25,TPOS_E,-484313,-8.2493,276,0.0047
2026-01-07 13:18:16:241,X,-842065,-14.34,TPOS_S,-,-,-,-
2026-01-07 13:18:16:325,X,-841535,-14.33,TPOS_E,-841173,-14.3278,362,0.0062
2026-01-07 13:18:16:388,P,-1448569,-148.04,TPOS_S,-,-,-,-
2026-01-07 13:18:16:514,V,806533,-23.64,TPOS_S,-,-,-,-
2026-01-07 13:18:16:578,P,-1430843,-146.23,TPOS_E,-1431613,-146.3085,-770,-0.0787
2026-01-07 13:18:16:641,N,-1575711,19.68,TPOS_S,-,-,-,-
2026-01-07 13:18:16:641,V,812552,-23.82,TPOS_E,811785,-23.7940,-767,0.0225
2026-01-07 13:18:17:444,N,-1709912,21.36,TPOS_E,-1708693,21.3431,1219,-0.0152
