DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-02-10 11:28:49:795,X,-927408,-15.80,TPOS,-1102473,-18.7785,-175065,-2.9819
2026-02-10 11:28:49:817,Y,-1325114,-22.57,TPOS,-798568,-13.6021,526546,8.9687
2026-02-10 11:28:49:839,V,824524,-24.17,TPOS,1251971,-36.6962,427447,-12.5288
2026-02-10 11:28:49:863,H,881069,-25.82,TPOS,463490,-13.5852,-417579,12.2396
2026-02-10 11:28:50:095,X,-927408,-15.80,TPOS_S,-,-,-,-
2026-02-10 11:28:50:243,Y,-1325114,-22.57,TPOS_S,-,-,-,-
2026-02-10 11:28:50:351,V,824524,-24.17,TPOS_S,-,-,-,-
2026-02-10 11:28:50:497,H,881069,-25.82,TPOS_S,-,-,-,-
2026-02-10 11:28:51:300,X,-1103128,-18.79,TPOS_E,-1102473,-18.7785,655,0.0112
2026-02-10 11:28:52:505,V,1252938,-36.72,TPOS_E,1251971,-36.6962,-967,0.0283
2026-02-10 11:28:52:505,H,462386,-13.55,TPOS_E,463490,-13.5852,1104,-0.0324
2026-02-10 11:28:55:116,Y,-798774,-13.61,TPOS_E,-798568,-13.6021,206,0.0035
