DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-01-19 11:43:11:552,P,-9159,-0.94,TPOS,-48924,-5.0000,-39765,-4.0639
2026-01-19 11:43:11:574,Z,-3072899,-34.89,TPOS,-440320,-5.0000,2632579,29.8939
2026-01-19 11:43:11:599,X,-1200442,-20.45,TPOS,-293546,-5.0000,906896,15.4472
2026-01-19 11:43:11:620,Y,-804170,-13.70,TPOS,-293546,-5.0000,510624,8.6975
2026-01-19 11:43:11:641,V,852556,-24.99,TPOS,170585,-5.0000,-681971,19.9891
2026-01-19 11:43:11:663,H,851923,-24.97,TPOS,170585,-5.0000,-681338,19.9705
2026-01-19 11:43:11:684,N,-836885,10.45,TPOS,-400290,5.0000,436595,-5.4535
2026-01-19 11:43:11:705,R,-1173664,-59.97,TPOS,-97848,-5.0000,1075816,54.9733
2026-01-19 11:43:11:852,P,-9159,-0.94,TPOS_S,-,-,-,-
2026-01-19 11:43:11:981,Z,-3072899,-34.89,TPOS_S,-,-,-,-
2026-01-19 11:43:12:087,X,-1200442,-20.45,TPOS_S,-,-,-,-
2026-01-19 11:43:12:172,P,-49577,-5.07,TPOS_E,-48924,-5.0000,653,0.0667
2026-01-19 11:43:12:237,P,-49577,-5.07,TPOS,-1556198,-159.0409,-1506621,-153.9742
2026-01-19 11:43:12:238,Y,-804170,-13.70,TPOS_S,-,-,-,-
2026-01-19 11:43:12:385,V,852556,-24.99,TPOS_S,-,-,-,-
2026-01-19 11:43:12:491,H,851923,-24.97,TPOS_S,-,-,-,-
2026-01-19 11:43:12:639,N,-836885,10.45,TPOS_S,-,-,-,-
2026-01-19 11:43:12:743,R,-1173664,-59.97,TPOS_S,-,-,-,-
2026-01-19 11:43:12:890,P,-49577,-5.07,TPOS_S,-,-,-,-
2026-01-19 11:43:14:696,N,-399054,4.98,TPOS_E,-400290,5.0000,-1236,0.0154
2026-01-19 11:43:15:124,N,-399054,4.98,TPOS,-5084945,63.5156,-4685891,58.5311
2026-01-19 11:43:15:312,N,-399054,4.98,TPOS_S,-,-,-,-
2026-01-19 11:43:15:916,H,169411,-4.97,TPOS_E,170585,-5.0000,1174,-0.0344
