DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-01-22 16:18:44:026,Y,-804169,-13.70,TPOS_Z,-,-,-,-
2026-01-22 16:18:44:026,Y,0,0.00,TPOS_I,-,-,-,-
2026-01-22 16:18:45:366,P,-9324,-0.95,TPOS_Z,-,-,-,-
2026-01-22 16:18:45:409,P,0,0.00,TPOS_I,-,-,-,-
2026-01-22 16:18:45:657,Y,0,0.00,TPOS,-1144831,-19.5000,-1144831,-19.5000
2026-01-22 16:18:45:930,Y,0,0.00,TPOS_S,-,-,-,-
2026-01-22 16:18:46:735,X,-1200608,-20.45,TPOS_Z,-,-,-,-
2026-01-22 16:18:46:735,X,0,0.00,TPOS_I,-,-,-,-
2026-01-22 16:18:49:137,N,-836821,10.45,TPOS_Z,-,-,-,-
2026-01-22 16:18:49:137,N,0,0.00,TPOS_I,-,-,-,-
2026-01-22 16:18:52:140,Y,-1145441,-19.51,TPOS_E,-1144831,-19.5000,610,0.0104
2026-01-22 16:18:52:364,P,0,0.00,TPOS,-1614506,-164.9999,-1614506,-164.9999
2026-01-22 16:18:52:385,Y,-1145441,-19.51,TPOS,-176127,-3.0000,969314,16.5104
2026-01-22 16:18:52:409,N,0,0.00,TPOS,-5564043,69.5000,-5564043,69.5000
2026-01-22 16:18:52:433,X,0,0.00,TPOS,-1291605,-22.0000,-1291605,-22.0000
2026-01-22 16:18:52:757,P,0,0.00,TPOS_S,-,-,-,-
2026-01-22 16:18:52:757,Y,-1145441,-19.51,TPOS_S,-,-,-,-
2026-01-22 16:18:53:058,N,0,0.00,TPOS_S,-,-,-,-
2026-01-22 16:18:53:058,X,0,0.00,TPOS_S,-,-,-,-
2026-01-22 16:18:53:642,Z,-3072745,-34.89,TPOS_Z,-,-,-,-
2026-01-22 16:18:53:642,Z,0,0.00,TPOS_I,-,-,-,-
2026-01-22 16:18:54:057,Z,0,0.00,TPOS,-4403200,-50.0000,-4403200,-50.0000
2026-01-22 16:18:54:245,Z,0,0.00,TPOS_S,-,-,-,-
2026-01-22 16:18:57:458,H,851725,-24.96,TPOS_Z,-,-,-,-
2026-01-22 16:18:57:458,H,0,0.00,TPOS_I,-,-,-,-
2026-01-22 16:18:58:065,H,0,0.00,TPOS,1671740,-49.0000,1671740,-49.0000
2026-01-22 16:18:58:254,H,0,0.00,TPOS_S,-,-,-,-
2026-01-22 16:18:59:661,X,-1292277,-22.01,TPOS_E,-1291605,-22.0000,672,0.0114
2026-01-22 16:19:00:086,X,-1292277,-22.01,TPOS,-176127,-3.0000,1116150,19.0115
2026-01-22 16:19:00:274,X,-1292277,-22.01,TPOS_S,-,-,-,-
2026-01-22 16:19:01:077,Y,-176170,-3.00,TPOS_E,-176127,-3.0000,43,0.0007
2026-01-22 16:19:01:680,P,-1614822,-165.03,TPOS_E,-1614506,-164.9999,316,0.0323
2026-01-22 16:19:02:105,P,-1614822,-165.03,TPOS,-9784,-0.9999,1605038,164.0323
2026-01-22 16:19:02:294,P,-1614822,-165.03,TPOS_S,-,-,-,-
2026-01-22 16:19:06:108,H,1672629,-49.03,TPOS_E,1671740,-49.0000,-889,0.0261
2026-01-22 16:19:06:534,H,1672629,-49.03,TPOS,852929,-25.0000,-819700,24.0260
2026-01-22 16:19:06:721,H,1672629,-49.03,TPOS_S,-,-,-,-
2026-01-22 16:19:09:333,X,-176055,-3.00,TPOS_E,-176127,-3.0000,-72,-0.0012
2026-01-22 16:19:10:538,H,851702,-24.96,TPOS_E,852929,-25.0000,1227,-0.0360
2026-01-22 16:19:11:647,P,-9308,-0.95,TPOS_E,-9784,-0.9999,-476,-0.0486
2026-01-22 16:19:16:565,V,852567,-24.99,TPOS_Z,-,-,-,-
2026-01-22 16:19:16:565,V,0,0.00,TPOS_I,-,-,-,-
2026-01-22 16:19:16:978,N,-5565283,69.52,TPOS_E,-5564043,69.5000,1240,-0.0155
2026-01-22 16:19:17:044,N,-5565283,69.52,TPOS,-838209,10.4700,4727074,-59.0455
2026-01-22 16:19:17:169,Z,-4403888,-50.01,TPOS_E,-4403200,-50.0000,688,0.0078
2026-01-22 16:19:17:190,V,0,0.00,TPOS,1671740,-49.0000,1671740,-49.0000
2026-01-22 16:19:17:236,Z,-4403888,-50.01,TPOS,-3073433,-34.9000,1330455,15.1078
2026-01-22 16:19:17:278,N,-5565283,69.52,TPOS_S,-,-,-,-
2026-01-22 16:19:17:425,V,0,0.00,TPOS_S,-,-,-,-
2026-01-22 16:19:17:550,Z,-4403888,-50.01,TPOS_S,-,-,-,-
2026-01-22 16:19:19:361,R,-1173697,-59.97,TPOS_Z,-,-,-,-
2026-01-22 16:19:19:361,R,0,0.00,TPOS_I,-,-,-,-
2026-01-22 16:19:19:775,R,0,0.00,TPOS,-2328803,-119.0000,-2328803,-119.0000
2026-01-22 16:19:19:962,R,0,0.00,TPOS_S,-,-,-,-
2026-01-22 16:19:24:179,Z,-3072768,-34.89,TPOS_E,-3073433,-34.9000,-665,-0.0076
2026-01-22 16:19:25:384,V,1672738,-49.03,TPOS_E,1671740,-49.0000,-998,0.0293
2026-01-22 16:19:25:813,V,1672738,-49.03,TPOS,852929,-25.0000,-819809,24.0292
2026-01-22 16:19:26:001,V,1672738,-49.03,TPOS_S,-,-,-,-
2026-01-22 16:19:31:420,V,852554,-24.99,TPOS_E,852929,-25.0000,375,-0.0110
2026-01-22 16:19:31:644,X,-176055,-3.00,TPOS,-1199824,-20.4367,-1023769,-17.4379
2026-01-22 16:19:31:665,Y,-176170,-3.00,TPOS,-803572,-13.6873,-627402,-10.6866
2026-01-22 16:19:31:833,X,-176055,-3.00,TPOS_S,-,-,-,-
2026-01-22 16:19:31:959,Y,-176170,-3.00,TPOS_S,-,-,-,-
2026-01-22 16:19:33:164,R,-2329513,-119.04,TPOS_E,-2328803,-119.0000,710,0.0363
2026-01-22 16:19:33:590,R,-2329513,-119.04,TPOS,-1174186,-60.0000,1155327,59.0363
2026-01-22 16:19:33:778,R,-2329513,-119.04,TPOS_S,-,-,-,-
2026-01-22 16:19:35:387,Y,-804171,-13.70,TPOS_E,-803572,-13.6873,599,0.0102
2026-01-22 16:19:36:996,X,-1200602,-20.45,TPOS_E,-1199824,-20.4367,778,0.0133
2026-01-22 16:19:37:799,N,-836834,10.45,TPOS_E,-838209,10.4700,-1375,0.0172
2026-01-22 16:19:40:210,R,-1173595,-59.97,TPOS_E,-1174186,-60.0000,-591,-0.0302
