DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-01-27 12:49:35:200,X,-919996,-15.67,TPOS,-1101826,-18.7675,-181830,-3.0971
2026-01-27 12:49:35:223,Y,-1329348,-22.64,TPOS,-797809,-13.5891,531539,9.0537
2026-01-27 12:49:35:245,V,824656,-24.17,TPOS,1252103,-36.7001,427447,-12.5288
2026-01-27 12:49:35:267,H,881195,-25.83,TPOS,463616,-13.5889,-417579,12.2396
2026-01-27 12:49:35:497,X,-919996,-15.67,TPOS_S,-,-,-,-
2026-01-27 12:49:35:622,Y,-1329348,-22.64,TPOS_S,-,-,-,-
2026-01-27 12:49:35:749,V,824656,-24.17,TPOS_S,-,-,-,-
2026-01-27 12:49:35:875,H,881195,-25.83,TPOS_S,-,-,-,-
2026-01-27 12:49:36:680,X,-1102315,-18.78,TPOS_E,-1101826,-18.7675,489,0.0083
2026-01-27 12:49:37:886,V,1253082,-36.73,TPOS_E,1252103,-36.7001,-979,0.0287
2026-01-27 12:49:38:087,H,462472,-13.56,TPOS_E,463616,-13.5889,1144,-0.0335
2026-01-27 12:49:40:696,Y,-797939,-13.59,TPOS_E,-797809,-13.5891,130,0.0022
