DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-01-27 14:28:57:235,P,-1359092,-138.90,TPOS,-1594056,-162.9100,-234964,-24.0129
2026-01-27 14:28:57:258,R,-1166832,-59.62,TPOS,-1166358,-59.6000,474,0.0242
2026-01-27 14:28:57:531,P,-1359092,-138.90,TPOS_S,-,-,-,-
2026-01-27 14:28:57:657,R,-1166832,-59.62,TPOS_S,-,-,-,-
2026-01-27 14:28:57:858,R,-1166820,-59.62,TPOS_E,-1166358,-59.6000,462,0.0236
2026-01-27 14:28:59:062,P,-1594335,-162.94,TPOS_E,-1594056,-162.9100,279,0.0285
2026-01-27 14:28:59:286,P,-1594335,-162.94,TPOS,-1589163,-162.4099,5172,0.5286
2026-01-27 14:28:59:475,P,-1594335,-162.94,TPOS_S,-,-,-,-
2026-01-27 14:28:59:676,P,-1588923,-162.39,TPOS_E,-1589163,-162.4099,-240,-0.0245
2026-01-27 14:28:59:899,P,-1588923,-162.39,TPOS,-1584271,-161.9099,4652,0.4754
2026-01-27 14:29:00:088,P,-1588923,-162.39,TPOS_S,-,-,-,-
2026-01-27 14:29:00:290,P,-1584073,-161.89,TPOS_E,-1584271,-161.9099,-198,-0.0202
2026-01-27 14:29:00:512,P,-1584073,-161.89,TPOS,-1579379,-161.4100,4694,0.4797
2026-01-27 14:29:00:702,P,-1584073,-161.89,TPOS_S,-,-,-,-
2026-01-27 14:29:00:903,P,-1579143,-161.39,TPOS_E,-1579379,-161.4100,-236,-0.0241
2026-01-27 14:29:01:125,P,-1579143,-161.39,TPOS,-1574486,-160.9099,4657,0.4759
2026-01-27 14:29:01:314,P,-1579143,-161.39,TPOS_S,-,-,-,-
2026-01-27 14:29:01:515,P,-1574221,-160.88,TPOS_E,-1574486,-160.9099,-265,-0.0271
2026-01-27 14:29:01:740,P,-1574221,-160.88,TPOS,-1569594,-160.4100,4627,0.4729
2026-01-27 14:29:01:929,P,-1574221,-160.88,TPOS_S,-,-,-,-
2026-01-27 14:29:02:131,P,-1569309,-160.38,TPOS_E,-1569594,-160.4100,-285,-0.0291
2026-01-27 14:29:02:354,P,-1569309,-160.38,TPOS,-1564701,-159.9099,4608,0.4709
2026-01-27 14:29:02:543,P,-1569309,-160.38,TPOS_S,-,-,-,-
2026-01-27 14:29:02:744,P,-1564367,-159.88,TPOS_E,-1564701,-159.9099,-334,-0.0341
2026-01-27 14:29:02:968,P,-1564367,-159.88,TPOS,-1559809,-159.4100,4558,0.4658
2026-01-27 14:29:03:157,P,-1564367,-159.88,TPOS_S,-,-,-,-
2026-01-27 14:29:03:359,P,-1559430,-159.37,TPOS_E,-1559809,-159.4100,-379,-0.0387
2026-01-27 14:29:03:582,P,-1559430,-159.37,TPOS,-1554916,-158.9099,4514,0.4613
2026-01-27 14:29:03:771,P,-1559430,-159.37,TPOS_S,-,-,-,-
2026-01-27 14:29:03:972,P,-1554530,-158.87,TPOS_E,-1554916,-158.9099,-386,-0.0394
2026-01-27 14:29:04:195,P,-1554530,-158.87,TPOS,-1550024,-158.4100,4506,0.4605
2026-01-27 14:29:04:382,P,-1554530,-158.87,TPOS_S,-,-,-,-
2026-01-27 14:29:04:584,P,-1549637,-158.37,TPOS_E,-1550024,-158.4100,-387,-0.0396
2026-01-27 14:29:04:807,P,-1549637,-158.37,TPOS,-1545131,-157.9099,4506,0.4605
2026-01-27 14:29:04:995,P,-1549637,-158.37,TPOS_S,-,-,-,-
2026-01-27 14:29:05:196,P,-1544769,-157.87,TPOS_E,-1545131,-157.9099,-362,-0.0370
2026-01-27 14:29:05:418,P,-1544769,-157.87,TPOS,-1540239,-157.4099,4530,0.4630
2026-01-27 14:29:05:627,P,-1544769,-157.87,TPOS_S,-,-,-,-
2026-01-27 14:29:05:829,P,-1539881,-157.37,TPOS_E,-1540239,-157.4099,-358,-0.0366
2026-01-27 14:29:06:052,P,-1539881,-157.37,TPOS,-1535347,-156.9100,4534,0.4634
2026-01-27 14:29:06:239,P,-1539881,-157.37,TPOS_S,-,-,-,-
2026-01-27 14:29:06:442,P,-1535030,-156.88,TPOS_E,-1535347,-156.9100,-317,-0.0324
2026-01-27 14:29:06:664,P,-1535030,-156.88,TPOS,-1530454,-156.4099,4576,0.4677
2026-01-27 14:29:06:851,P,-1535030,-156.88,TPOS_S,-,-,-,-
2026-01-27 14:29:07:054,P,-1530183,-156.38,TPOS_E,-1530454,-156.4099,-271,-0.0277
2026-01-27 14:29:07:278,P,-1530183,-156.38,TPOS,-1525562,-155.9100,4621,0.4723
2026-01-27 14:29:07:466,P,-1530183,-156.38,TPOS_S,-,-,-,-
2026-01-27 14:29:07:668,P,-1525353,-155.89,TPOS_E,-1525562,-155.9100,-209,-0.0214
2026-01-27 14:29:07:890,P,-1525353,-155.89,TPOS,-1520669,-155.4099,4684,0.4787
2026-01-27 14:29:08:078,P,-1525353,-155.89,TPOS_S,-,-,-,-
2026-01-27 14:29:08:279,P,-1520529,-155.40,TPOS_E,-1520669,-155.4099,-140,-0.0143
2026-01-27 14:29:08:502,P,-1520529,-155.40,TPOS,-1515777,-154.9100,4752,0.4856
2026-01-27 14:29:08:690,P,-1520529,-155.40,TPOS_S,-,-,-,-
2026-01-27 14:29:08:892,P,-1515716,-154.90,TPOS_E,-1515777,-154.9100,-61,-0.0062
2026-01-27 14:29:09:114,P,-1515716,-154.90,TPOS,-1510884,-154.4099,4832,0.4938
2026-01-27 14:29:09:302,P,-1515716,-154.90,TPOS_S,-,-,-,-
2026-01-27 14:29:09:503,P,-1510724,-154.39,TPOS_E,-1510884,-154.4099,-160,-0.0164
2026-01-27 14:29:09:725,P,-1510724,-154.39,TPOS,-1505992,-153.9100,4732,0.4836
2026-01-27 14:29:09:914,P,-1510724,-154.39,TPOS_S,-,-,-,-
2026-01-27 14:29:10:116,P,-1505809,-153.89,TPOS_E,-1505992,-153.9100,-183,-0.0187
2026-01-27 14:29:10:340,P,-1505809,-153.89,TPOS,-1501099,-153.4099,4710,0.4814
2026-01-27 14:29:10:528,P,-1505809,-153.89,TPOS_S,-,-,-,-
2026-01-27 14:29:10:730,P,-1500798,-153.38,TPOS_E,-1501099,-153.4099,-301,-0.0308
2026-01-27 14:29:10:952,P,-1500798,-153.38,TPOS,-1496207,-152.9099,4591,0.4692
2026-01-27 14:29:11:141,P,-1500798,-153.38,TPOS_S,-,-,-,-
2026-01-27 14:29:11:342,P,-1495859,-152.87,TPOS_E,-1496207,-152.9099,-348,-0.0356
2026-01-27 14:29:11:566,P,-1495859,-152.87,TPOS,-1491315,-152.4100,4544,0.4644
2026-01-27 14:29:11:754,P,-1495859,-152.87,TPOS_S,-,-,-,-
2026-01-27 14:29:11:956,P,-1490960,-152.37,TPOS_E,-1491315,-152.4100,-355,-0.0363
2026-01-27 14:29:12:180,P,-1490960,-152.37,TPOS,-1486422,-151.9099,4538,0.4638
2026-01-27 14:29:12:368,P,-1490960,-152.37,TPOS_S,-,-,-,-
2026-01-27 14:29:12:570,P,-1486014,-151.87,TPOS_E,-1486422,-151.9099,-408,-0.0417
2026-01-27 14:29:12:794,P,-1486014,-151.87,TPOS,-1481530,-151.4100,4484,0.4583
2026-01-27 14:29:12:982,P,-1486014,-151.87,TPOS_S,-,-,-,-
2026-01-27 14:29:13:183,P,-1481118,-151.37,TPOS_E,-1481530,-151.4100,-412,-0.0421
2026-01-27 14:29:13:406,P,-1481118,-151.37,TPOS,-1476637,-150.9099,4481,0.4580
2026-01-27 14:29:13:594,P,-1481118,-151.37,TPOS_S,-,-,-,-
2026-01-27 14:29:13:798,P,-1476216,-150.87,TPOS_E,-1476637,-150.9099,-421,-0.0430
2026-01-27 14:29:14:021,P,-1476216,-150.87,TPOS,-1471745,-150.4100,4471,0.4569
2026-01-27 14:29:14:209,P,-1476216,-150.87,TPOS_S,-,-,-,-
2026-01-27 14:29:14:410,P,-1471327,-150.37,TPOS_E,-1471745,-150.4100,-418,-0.0427
2026-01-27 14:29:14:634,P,-1471327,-150.37,TPOS,-1466852,-149.9099,4475,0.4573
2026-01-27 14:29:14:822,P,-1471327,-150.37,TPOS_S,-,-,-,-
2026-01-27 14:29:15:023,P,-1466502,-149.87,TPOS_E,-1466852,-149.9099,-350,-0.0358
2026-01-27 14:29:15:246,P,-1466502,-149.87,TPOS,-1461960,-149.4100,4542,0.4642
2026-01-27 14:29:15:434,P,-1466502,-149.87,TPOS_S,-,-,-,-
2026-01-27 14:29:15:636,P,-1461624,-149.38,TPOS_E,-1461960,-149.4100,-336,-0.0343
2026-01-27 14:29:15:860,P,-1461624,-149.38,TPOS,-1457067,-148.9099,4557,0.4657
2026-01-27 14:29:16:026,P,-1461624,-149.38,TPOS_S,-,-,-,-
2026-01-27 14:29:16:228,P,-1456795,-148.88,TPOS_E,-1457067,-148.9099,-272,-0.0278
2026-01-27 14:29:16:452,P,-1456795,-148.88,TPOS,-1452175,-148.4099,4620,0.4722
2026-01-27 14:29:16:640,P,-1456795,-148.88,TPOS_S,-,-,-,-
2026-01-27 14:29:16:842,P,-1451933,-148.39,TPOS_E,-1452175,-148.4099,-242,-0.0247
2026-01-27 14:29:17:065,P,-1451933,-148.39,TPOS,-1447283,-147.9100,4650,0.4752
2026-01-27 14:29:17:254,P,-1451933,-148.39,TPOS_S,-,-,-,-
2026-01-27 14:29:17:455,P,-1447111,-147.89,TPOS_E,-1447283,-147.9100,-172,-0.0176
2026-01-27 14:29:17:680,P,-1447111,-147.89,TPOS,-1442390,-147.4099,4721,0.4825
2026-01-27 14:29:17:848,P,-1447111,-147.89,TPOS_S,-,-,-,-
2026-01-27 14:29:18:050,P,-1442178,-147.39,TPOS_E,-1442390,-147.4099,-212,-0.0217
2026-01-27 14:29:18:274,P,-1442178,-147.39,TPOS,-1437498,-146.9100,4680,0.4783
2026-01-27 14:29:18:484,P,-1442178,-147.39,TPOS_S,-,-,-,-
2026-01-27 14:29:18:685,P,-1437235,-146.88,TPOS_E,-1437498,-146.9100,-263,-0.0269
2026-01-27 14:29:18:909,P,-1437235,-146.88,TPOS,-1432605,-146.4099,4630,0.4732
2026-01-27 14:29:19:097,P,-1437235,-146.88,TPOS_S,-,-,-,-
2026-01-27 14:29:19:298,P,-1432318,-146.38,TPOS_E,-1432605,-146.4099,-287,-0.0293
2026-01-27 14:29:19:521,P,-1432318,-146.38,TPOS,-1427713,-145.9100,4605,0.4706
2026-01-27 14:29:19:687,P,-1432318,-146.38,TPOS_S,-,-,-,-
2026-01-27 14:29:19:889,P,-1427407,-145.88,TPOS_E,-1427713,-145.9100,-306,-0.0313
2026-01-27 14:29:20:112,P,-1427407,-145.88,TPOS,-1422820,-145.4099,4587,0.4688
2026-01-27 14:29:20:280,P,-1427407,-145.88,TPOS_S,-,-,-,-
2026-01-27 14:29:20:481,P,-1422483,-145.38,TPOS_E,-1422820,-145.4099,-337,-0.0344
2026-01-27 14:29:20:705,P,-1422483,-145.38,TPOS,-1417928,-144.9100,4555,0.4655
2026-01-27 14:29:20:894,P,-1422483,-145.38,TPOS_S,-,-,-,-
2026-01-27 14:29:21:096,P,-1417546,-144.87,TPOS_E,-1417928,-144.9100,-382,-0.0390
2026-01-27 14:29:21:319,P,-1417546,-144.87,TPOS,-1413035,-144.4099,4511,0.4610
2026-01-27 14:29:21:507,P,-1417546,-144.87,TPOS_S,-,-,-,-
2026-01-27 14:29:21:708,P,-1412625,-144.37,TPOS_E,-1413035,-144.4099,-410,-0.0419
2026-01-27 14:29:21:930,P,-1412625,-144.37,TPOS,-1408143,-143.9099,4482,0.4581
2026-01-27 14:29:22:098,P,-1412625,-144.37,TPOS_S,-,-,-,-
2026-01-27 14:29:22:300,P,-1407731,-143.87,TPOS_E,-1408143,-143.9099,-412,-0.0421
2026-01-27 14:29:22:522,P,-1407731,-143.87,TPOS,-1403251,-143.4100,4480,0.4578
2026-01-27 14:29:22:710,P,-1407731,-143.87,TPOS_S,-,-,-,-
2026-01-27 14:29:22:912,P,-1402854,-143.37,TPOS_E,-1403251,-143.4100,-397,-0.0406
2026-01-27 14:29:23:136,P,-1402854,-143.37,TPOS,-1398358,-142.9099,4496,0.4595
2026-01-27 14:29:23:324,P,-1402854,-143.37,TPOS_S,-,-,-,-
2026-01-27 14:29:23:525,P,-1398007,-142.87,TPOS_E,-1398358,-142.9099,-351,-0.0359
2026-01-27 14:29:23:749,P,-1398007,-142.87,TPOS,-1393466,-142.4100,4541,0.4641
2026-01-27 14:29:23:937,P,-1398007,-142.87,TPOS_S,-,-,-,-
2026-01-27 14:29:24:138,P,-1393130,-142.38,TPOS_E,-1393466,-142.4100,-336,-0.0343
2026-01-27 14:29:24:364,P,-1393130,-142.38,TPOS,-1388573,-141.9099,4557,0.4657
2026-01-27 14:29:24:551,P,-1393130,-142.38,TPOS_S,-,-,-,-
2026-01-27 14:29:24:753,P,-1388268,-141.88,TPOS_E,-1388573,-141.9099,-305,-0.0312
2026-01-27 14:29:24:977,P,-1388268,-141.88,TPOS,-1383681,-141.4100,4587,0.4688
2026-01-27 14:29:25:165,P,-1388268,-141.88,TPOS_S,-,-,-,-
2026-01-27 14:29:25:367,P,-1383400,-141.38,TPOS_E,-1383681,-141.4100,-281,-0.0287
2026-01-27 14:29:25:590,P,-1383400,-141.38,TPOS,-1378788,-140.9099,4612,0.4713
2026-01-27 14:29:25:778,P,-1383400,-141.38,TPOS_S,-,-,-,-
2026-01-27 14:29:25:980,P,-1378593,-140.89,TPOS_E,-1378788,-140.9099,-195,-0.0199
2026-01-27 14:29:26:202,P,-1378593,-140.89,TPOS,-1373896,-140.4100,4697,0.4800
2026-01-27 14:29:26:391,P,-1378593,-140.89,TPOS_S,-,-,-,-
2026-01-27 14:29:26:594,P,-1373619,-140.38,TPOS_E,-1373896,-140.4100,-277,-0.0283
2026-01-27 14:29:26:817,P,-1373619,-140.38,TPOS,-1369003,-139.9099,4616,0.4717
2026-01-27 14:29:27:006,P,-1373619,-140.38,TPOS_S,-,-,-,-
2026-01-27 14:29:27:208,P,-1368740,-139.88,TPOS_E,-1369003,-139.9099,-263,-0.0269
2026-01-27 14:29:27:430,P,-1368740,-139.88,TPOS,-1364111,-139.4099,4629,0.4731
2026-01-27 14:29:27:619,P,-1368740,-139.88,TPOS_S,-,-,-,-
2026-01-27 14:29:27:820,P,-1363776,-139.38,TPOS_E,-1364111,-139.4099,-335,-0.0342
2026-01-27 14:29:28:043,P,-1363776,-139.38,TPOS,-1359219,-138.9100,4557,0.4657
2026-01-27 14:29:28:252,P,-1363776,-139.38,TPOS_S,-,-,-,-
2026-01-27 14:29:28:453,P,-1358858,-138.87,TPOS_E,-1359219,-138.9100,-361,-0.0369
2026-01-27 14:29:28:677,P,-1358858,-138.87,TPOS,-1354326,-138.4099,4532,0.4632
2026-01-27 14:29:28:865,P,-1358858,-138.87,TPOS_S,-,-,-,-
2026-01-27 14:29:29:067,P,-1353990,-138.38,TPOS_E,-1354326,-138.4099,-336,-0.0343
2026-01-27 14:29:29:292,P,-1353990,-138.38,TPOS,-1349434,-137.9100,4556,0.4656
2026-01-27 14:29:29:480,P,-1353990,-138.38,TPOS_S,-,-,-,-
2026-01-27 14:29:29:682,P,-1349029,-137.87,TPOS_E,-1349434,-137.9100,-405,-0.0414
2026-01-27 14:29:29:906,P,-1349029,-137.87,TPOS,-1344541,-137.4099,4488,0.4587
2026-01-27 14:29:30:093,P,-1349029,-137.87,TPOS_S,-,-,-,-
2026-01-27 14:29:30:294,P,-1344130,-137.37,TPOS_E,-1344541,-137.4099,-411,-0.0420
2026-01-27 14:29:30:517,P,-1344130,-137.37,TPOS,-1339649,-136.9100,4481,0.4580
2026-01-27 14:29:30:706,P,-1344130,-137.37,TPOS_S,-,-,-,-
2026-01-27 14:29:30:908,P,-1339273,-136.87,TPOS_E,-1339649,-136.9100,-376,-0.0384
2026-01-27 14:29:31:134,P,-1339273,-136.87,TPOS,-1334756,-136.4099,4517,0.4616
2026-01-27 14:29:31:301,P,-1339273,-136.87,TPOS_S,-,-,-,-
2026-01-27 14:29:31:502,P,-1334361,-136.37,TPOS_E,-1334756,-136.4099,-395,-0.0404
2026-01-27 14:29:31:726,P,-1334361,-136.37,TPOS,-1329864,-135.9100,4497,0.4596
2026-01-27 14:29:31:914,P,-1334361,-136.37,TPOS_S,-,-,-,-
2026-01-27 14:29:32:116,P,-1329527,-135.88,TPOS_E,-1329864,-135.9100,-337,-0.0344
2026-01-27 14:29:32:340,P,-1329527,-135.88,TPOS,-1324971,-135.4099,4556,0.4656
2026-01-27 14:29:32:528,P,-1329527,-135.88,TPOS_S,-,-,-,-
2026-01-27 14:29:32:730,P,-1324644,-135.38,TPOS_E,-1324971,-135.4099,-327,-0.0334
2026-01-27 14:29:32:953,P,-1324644,-135.38,TPOS,-1320079,-134.9099,4565,0.4665
2026-01-27 14:29:33:141,P,-1324644,-135.38,TPOS_S,-,-,-,-
2026-01-27 14:29:33:343,P,-1319745,-134.88,TPOS_E,-1320079,-134.9099,-334,-0.0341
