DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-01-27 15:13:42:892,P,-1077969,-110.17,TPOS,-1200231,-122.6617,-122262,-12.4950
2026-01-27 15:13:42:917,V,655870,-19.22,TPOS,509761,-14.9415,-146109,4.2826
2026-01-27 15:13:42:938,H,1043928,-30.60,TPOS,1015679,-29.7703,-28249,0.8280
2026-01-27 15:13:42:959,N,-3783533,47.26,TPOS,-2722254,34.0034,1061279,-13.2563
2026-01-27 15:13:43:189,P,-1077969,-110.17,TPOS_S,-,-,-,-
2026-01-27 15:13:43:316,V,655870,-19.22,TPOS_S,-,-,-,-
2026-01-27 15:13:43:441,H,1043928,-30.60,TPOS_S,-,-,-,-
2026-01-27 15:13:43:589,N,-3783533,47.26,TPOS_S,-,-,-,-
2026-01-27 15:13:43:792,H,1014464,-29.73,TPOS_E,1015679,-29.7703,1215,-0.0356
2026-01-27 15:13:43:994,P,-1200905,-122.73,TPOS_E,-1200231,-122.6617,674,0.0689
2026-01-27 15:13:44:398,V,509333,-14.93,TPOS_E,509761,-14.9415,428,-0.0125
2026-01-27 15:13:48:414,N,-2720891,33.99,TPOS_E,-2722254,34.0034,-1363,0.0170
