DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-01-28 13:37:01:747,Y,-1223254,-20.84,TPOS,-1152116,-19.6241,71138,1.2117
2026-01-28 13:37:01:874,X,-872499,-14.86,TPOS,-836969,-14.2561,35530,0.6052
2026-01-28 13:37:02:000,Y,-1223254,-20.84,TPOS_S,-,-,-,-
2026-01-28 13:37:02:106,X,-872499,-14.86,TPOS_S,-,-,-,-
2026-01-28 13:37:02:698,X,-836984,-14.26,TPOS_E,-836969,-14.2561,15,0.0003
2026-01-28 13:37:02:698,Y,-1151736,-19.62,TPOS_E,-1152116,-19.6241,-380,-0.0065
2026-01-28 13:37:03:312,Y,-1151736,-19.62,TPOS,-29354,-0.5000,1122382,19.1176
2026-01-28 13:37:03:418,X,-836984,-14.26,TPOS,-1385361,-23.5969,-548377,-9.3405
2026-01-28 13:37:03:544,Y,-1151736,-19.62,TPOS_S,-,-,-,-
2026-01-28 13:37:03:649,X,-836984,-14.26,TPOS_S,-,-,-,-
2026-01-28 13:37:06:663,X,-1385925,-23.61,TPOS_E,-1385361,-23.5969,564,0.0096
2026-01-28 13:37:12:890,Y,-29398,-0.50,TPOS_E,-29354,-0.5000,44,0.0007
