DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-01-28 14:53:59:775,Z,-3161601,-35.90,TPOS,-3073433,-34.9000,88168,1.0012
2026-01-28 14:53:59:797,X,-926635,-15.78,TPOS,-1199824,-20.4367,-273189,-4.6532
2026-01-28 14:53:59:820,Y,-484611,-8.25,TPOS,-803572,-13.6873,-318961,-5.4329
2026-01-28 14:53:59:841,V,830934,-24.36,TPOS,852929,-25.0000,21995,-0.6447
2026-01-28 14:53:59:862,H,916523,-26.86,TPOS,852929,-25.0000,-63594,1.8640
2026-01-28 14:54:00:051,Z,-3161601,-35.90,TPOS_S,-,-,-,-
2026-01-28 14:54:00:197,X,-926635,-15.78,TPOS_S,-,-,-,-
2026-01-28 14:54:00:322,Y,-484611,-8.25,TPOS_S,-,-,-,-
2026-01-28 14:54:00:449,V,830934,-24.36,TPOS_S,-,-,-,-
2026-01-28 14:54:00:595,H,916523,-26.86,TPOS_S,-,-,-,-
2026-01-28 14:54:00:595,Z,-3072721,-34.89,TPOS_E,-3073433,-34.9000,-712,-0.0081
2026-01-28 14:54:00:796,V,853916,-25.03,TPOS_E,852929,-25.0000,-987,0.0289
2026-01-28 14:54:00:998,H,851732,-24.96,TPOS_E,852929,-25.0000,1197,-0.0351
2026-01-28 14:54:01:801,X,-1200493,-20.45,TPOS_E,-1199824,-20.4367,669,0.0114
2026-01-28 14:54:02:203,Y,-804193,-13.70,TPOS_E,-803572,-13.6873,621,0.0106
