DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-02-02 13:09:40:983,Y,-897024,-15.28,TPOS,-862107,-14.6843,34917,0.5947
2026-02-02 13:09:41:005,X,-1250368,-21.30,TPOS,-1216154,-20.7148,34214,0.5828
2026-02-02 13:09:41:027,P,-1023967,-104.65,TPOS,-1029645,-105.2281,-5678,-0.5803
2026-02-02 13:09:41:048,N,-2654293,33.15,TPOS,-2614126,32.6528,40167,-0.5017
2026-02-02 13:09:41:281,Y,-897024,-15.28,TPOS_S,-,-,-,-
2026-02-02 13:09:41:406,X,-1250368,-21.30,TPOS_S,-,-,-,-
2026-02-02 13:09:41:532,P,-1023967,-104.65,TPOS_S,-,-,-,-
2026-02-02 13:09:41:677,N,-2654293,33.15,TPOS_S,-,-,-,-
2026-02-02 13:09:41:677,P,-1030118,-105.28,TPOS_E,-1029645,-105.2281,473,0.0483
2026-02-02 13:09:41:879,Y,-862319,-14.69,TPOS_E,-862107,-14.6843,212,0.0036
2026-02-02 13:09:41:879,X,-1216332,-20.72,TPOS_E,-1216154,-20.7148,178,0.0030
2026-02-02 13:09:42:081,N,-2612885,32.64,TPOS_E,-2614126,32.6528,-1241,0.0155
