DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-02-02 14:06:47:109,P,-1085874,-110.97,TPOS,-9784,-0.9999,1076090,109.9747
2026-02-02 14:06:47:130,Z,-3161583,-35.90,TPOS,-2397542,-27.2250,764041,8.6760
2026-02-02 14:06:47:151,X,-1029532,-17.54,TPOS,-1199824,-20.4367,-170292,-2.9006
2026-02-02 14:06:47:174,Y,-700136,-11.93,TPOS,-803572,-13.6873,-103436,-1.7618
2026-02-02 14:06:47:196,N,-2157937,26.95,TPOS,-838209,10.4700,1319728,-16.4846
2026-02-02 14:06:47:492,P,-1085874,-110.97,TPOS_S,-,-,-,-
2026-02-02 14:06:47:619,Z,-3161583,-35.90,TPOS_S,-,-,-,-
2026-02-02 14:06:47:766,X,-1029532,-17.54,TPOS_S,-,-,-,-
2026-02-02 14:06:47:893,Y,-700136,-11.93,TPOS_S,-,-,-,-
2026-02-02 14:06:48:021,N,-2157937,26.95,TPOS_S,-,-,-,-
2026-02-02 14:06:48:625,Y,-804172,-13.70,TPOS_E,-803572,-13.6873,600,0.0102
2026-02-02 14:06:48:828,X,-1200434,-20.45,TPOS_E,-1199824,-20.4367,610,0.0104
2026-02-02 14:06:51:448,Z,-2396439,-27.21,TPOS_E,-2397542,-27.2250,-1103,-0.0125
2026-02-02 14:06:53:659,P,-9478,-0.97,TPOS_E,-9784,-0.9999,-306,-0.0313
2026-02-02 14:06:53:861,N,-836847,10.45,TPOS_E,-838209,10.4700,-1362,0.0170
