DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-02-28 00:07:36:384,Y,-804518,-13.70,TPOS_Z,-,-,-,-
2026-02-28 00:07:36:385,Y,0,0.00,TPOS_I,-,-,-,-
2026-02-28 00:07:37:742,P,-9590,-0.98,TPOS_Z,-,-,-,-
2026-02-28 00:07:37:764,P,0,0.00,TPOS_I,-,-,-,-
2026-02-28 00:07:37:829,Y,0,0.00,TPOS,-1144831,-19.5000,-1144831,-19.5000
2026-02-28 00:07:38:096,Y,0,0.00,TPOS_S,-,-,-,-
2026-02-28 00:07:39:301,X,-1200704,-20.45,TPOS_Z,-,-,-,-
2026-02-28 00:07:39:503,X,0,0.00,TPOS_I,-,-,-,-
2026-02-28 00:07:41:498,N,-836886,10.45,TPOS_Z,-,-,-,-
2026-02-28 00:07:41:701,N,0,0.00,TPOS_I,-,-,-,-
2026-02-28 00:07:44:093,Y,-1145482,-19.51,TPOS_E,-1144831,-19.5000,651,0.0111
2026-02-28 00:07:44:317,P,0,0.00,TPOS,-1614506,-164.9999,-1614506,-164.9999
2026-02-28 00:07:44:339,Y,-1145482,-19.51,TPOS,-176127,-3.0000,969355,16.5111
2026-02-28 00:07:44:361,N,0,0.00,TPOS,-5564043,69.5000,-5564043,69.5000
2026-02-28 00:07:44:382,X,0,0.00,TPOS,-1291605,-22.0000,-1291605,-22.0000
2026-02-28 00:07:44:704,P,0,0.00,TPOS_S,-,-,-,-
2026-02-28 00:07:44:705,Y,-1145482,-19.51,TPOS_S,-,-,-,-
2026-02-28 00:07:45:006,N,0,0.00,TPOS_S,-,-,-,-
2026-02-28 00:07:45:007,X,0,0.00,TPOS_S,-,-,-,-
2026-02-28 00:07:47:790,Z,-3073071,-34.90,TPOS_Z,-,-,-,-
2026-02-28 00:07:47:791,Z,0,0.00,TPOS_I,-,-,-,-
2026-02-28 00:07:48:201,Z,0,0.00,TPOS,-4403200,-50.0000,-4403200,-50.0000
2026-02-28 00:07:48:385,Z,0,0.00,TPOS_S,-,-,-,-
2026-02-28 00:07:49:388,H,851679,-24.96,TPOS_Z,-,-,-,-
2026-02-28 00:07:49:590,H,0,0.00,TPOS_I,-,-,-,-
2026-02-28 00:07:50:186,H,0,0.00,TPOS,1671740,-49.0000,1671740,-49.0000
2026-02-28 00:07:50:370,H,0,0.00,TPOS_S,-,-,-,-
2026-02-28 00:07:51:373,X,-1292428,-22.01,TPOS_E,-1291605,-22.0000,823,0.0140
2026-02-28 00:07:51:798,X,-1292428,-22.01,TPOS,-176127,-3.0000,1116301,19.0140
2026-02-28 00:07:51:983,X,-1292428,-22.01,TPOS_S,-,-,-,-
2026-02-28 00:07:53:186,Y,-176210,-3.00,TPOS_E,-176127,-3.0000,83,0.0014
2026-02-28 00:07:54:391,P,-1614892,-165.04,TPOS_E,-1614506,-164.9999,386,0.0394
