DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-03-03 18:05:00:837,P,-9464,-0.97,TPOS,-48924,-5.0000,-39460,-4.0327
2026-03-03 18:05:00:859,Z,-3073304,-34.90,TPOS,-440320,-5.0000,2632984,29.8985
2026-03-03 18:05:00:883,X,-1200735,-20.45,TPOS,-293546,-5.0000,907189,15.4522
2026-03-03 18:05:00:904,Y,-804457,-13.70,TPOS,-293546,-5.0000,510911,8.7024
2026-03-03 18:05:00:926,V,852558,-24.99,TPOS,170585,-5.0000,-681973,19.9891
2026-03-03 18:05:00:948,H,851784,-24.97,TPOS,170585,-5.0000,-681199,19.9665
2026-03-03 18:05:00:969,N,-837060,10.46,TPOS,-400290,5.0000,436770,-5.4557
2026-03-03 18:05:00:992,R,-1173784,-59.98,TPOS,-97848,-5.0000,1075936,54.9795
2026-03-03 18:05:01:140,P,-9464,-0.97,TPOS_S,-,-,-,-
2026-03-03 18:05:01:246,Z,-3073304,-34.90,TPOS_S,-,-,-,-
2026-03-03 18:05:01:374,X,-1200735,-20.45,TPOS_S,-,-,-,-
2026-03-03 18:05:01:502,P,-49229,-5.03,TPOS_E,-48924,-5.0000,305,0.0312
2026-03-03 18:05:01:524,Y,-804457,-13.70,TPOS_S,-,-,-,-
2026-03-03 18:05:01:568,P,-49229,-5.03,TPOS,-1556014,-159.0221,-1506785,-153.9910
2026-03-03 18:05:01:653,V,852558,-24.99,TPOS_S,-,-,-,-
2026-03-03 18:05:01:779,H,851784,-24.97,TPOS_S,-,-,-,-
2026-03-03 18:05:01:928,N,-837060,10.46,TPOS_S,-,-,-,-
2026-03-03 18:05:02:033,R,-1173784,-59.98,TPOS_S,-,-,-,-
2026-03-03 18:05:02:181,P,-49229,-5.03,TPOS_S,-,-,-,-
2026-03-03 18:05:04:191,N,-399203,4.99,TPOS_E,-400290,5.0000,-1087,0.0136
2026-03-03 18:05:04:616,N,-399203,4.99,TPOS,-5084845,63.5144,-4685642,58.5280
2026-03-03 18:05:04:805,N,-399203,4.99,TPOS_S,-,-,-,-
2026-03-03 18:05:05:208,H,169598,-4.97,TPOS_E,170585,-5.0000,987,-0.0289
2026-03-03 18:05:05:611,Y,-293605,-5.00,TPOS_E,-293546,-5.0000,59,0.0010
2026-03-03 18:05:05:633,H,169598,-4.97,TPOS,1467960,-43.0270,1298362,-38.0560
2026-03-03 18:05:05:678,Y,-293605,-5.00,TPOS,-836909,-14.2551,-543304,-9.2541
2026-03-03 18:05:05:826,H,169598,-4.97,TPOS_S,-,-,-,-
2026-03-03 18:05:05:849,V,170071,-4.98,TPOS_E,170585,-5.0000,514,-0.0151
2026-03-03 18:05:05:916,V,170071,-4.98,TPOS,819227,-24.0122,649156,-19.0273
2026-03-03 18:05:05:958,Y,-293605,-5.00,TPOS_S,-,-,-,-
2026-03-03 18:05:06:104,V,170071,-4.98,TPOS_S,-,-,-,-
2026-03-03 18:05:08:918,X,-293440,-5.00,TPOS_E,-293546,-5.0000,-106,-0.0018
2026-03-03 18:05:08:918,Y,-837602,-14.27,TPOS_E,-836909,-14.2551,693,0.0118
2026-03-03 18:05:09:323,V,820113,-24.04,TPOS_E,819227,-24.0122,-886,0.0260
2026-03-03 18:05:09:346,X,-293440,-5.00,TPOS,-910361,-15.5062,-616921,-10.5081
2026-03-03 18:05:09:371,Y,-837602,-14.27,TPOS,-293546,-5.0000,544056,9.2669
2026-03-03 18:05:09:393,V,820113,-24.04,TPOS,170585,-5.0000,-649528,19.0382
2026-03-03 18:05:09:544,X,-293440,-5.00,TPOS_S,-,-,-,-
2026-03-03 18:05:09:678,Y,-837602,-14.27,TPOS_S,-,-,-,-
2026-03-03 18:05:09:786,V,820113,-24.04,TPOS_S,-,-,-,-
2026-03-03 18:05:10:389,R,-97871,-5.00,TPOS_E,-97848,-5.0000,23,0.0012
2026-03-03 18:05:10:814,R,-97871,-5.00,TPOS,-2211990,-113.0309,-2114119,-108.0298
2026-03-03 18:05:11:003,R,-97871,-5.00,TPOS_S,-,-,-,-
2026-03-03 18:05:11:606,P,-1556402,-159.06,TPOS_E,-1556014,-159.0221,388,0.0397
2026-03-03 18:05:12:010,H,1468958,-43.06,TPOS_E,1467960,-43.0270,-998,0.0293
2026-03-03 18:05:12:032,P,-1556402,-159.06,TPOS,-48924,-5.0000,1507478,154.0618
2026-03-03 18:05:12:075,H,1468958,-43.06,TPOS,170585,-5.0000,-1298373,38.0563
2026-03-03 18:05:12:221,P,-1556402,-159.06,TPOS_S,-,-,-,-
2026-03-03 18:05:12:348,H,1468958,-43.06,TPOS_S,-,-,-,-
2026-03-03 18:05:12:750,X,-911213,-15.52,TPOS_E,-910361,-15.5062,852,0.0145
2026-03-03 18:05:13:173,X,-911213,-15.52,TPOS,-293546,-5.0000,617667,10.5208
2026-03-03 18:05:13:362,X,-911213,-15.52,TPOS_S,-,-,-,-
2026-03-03 18:05:13:766,V,170159,-4.99,TPOS_E,170585,-5.0000,426,-0.0125
2026-03-03 18:05:13:968,Y,-293590,-5.00,TPOS_E,-293546,-5.0000,44,0.0007
2026-03-03 18:05:14:191,V,170159,-4.99,TPOS,819227,-24.0122,649068,-19.0247
2026-03-03 18:05:14:214,Y,-293590,-5.00,TPOS,-836909,-14.2551,-543319,-9.2544
2026-03-03 18:05:14:381,V,170159,-4.99,TPOS_S,-,-,-,-
2026-03-03 18:05:14:529,Y,-293590,-5.00,TPOS_S,-,-,-,-
2026-03-03 18:05:17:345,Y,-837580,-14.27,TPOS_E,-836909,-14.2551,671,0.0114
2026-03-03 18:05:17:549,V,820145,-24.04,TPOS_E,819227,-24.0122,-918,0.0269
2026-03-03 18:05:17:752,Z,-440130,-5.00,TPOS_E,-440320,-5.0000,-190,-0.0022
2026-03-03 18:05:17:775,Y,-837580,-14.27,TPOS,-293546,-5.0000,544034,9.2666
2026-03-03 18:05:17:798,V,820145,-24.04,TPOS,170585,-5.0000,-649560,19.0391
2026-03-03 18:05:17:820,Z,-440130,-5.00,TPOS,-3874924,-44.0012,-3434794,-39.0034
2026-03-03 18:05:17:945,X,-293445,-5.00,TPOS_E,-293546,-5.0000,-101,-0.0017
2026-03-03 18:05:17:946,Y,-837580,-14.27,TPOS_S,-,-,-,-
2026-03-03 18:05:18:012,X,-293445,-5.00,TPOS,-910361,-15.5062,-616916,-10.5080
2026-03-03 18:05:18:094,V,820145,-24.04,TPOS_S,-,-,-,-
2026-03-03 18:05:18:220,Z,-440130,-5.00,TPOS_S,-,-,-,-
2026-03-03 18:05:18:346,X,-293445,-5.00,TPOS_S,-,-,-,-
2026-03-03 18:05:18:548,H,169600,-4.97,TPOS_E,170585,-5.0000,985,-0.0289
2026-03-03 18:05:18:973,H,169600,-4.97,TPOS,1467960,-43.0270,1298360,-38.0559
2026-03-03 18:05:19:161,H,169600,-4.97,TPOS_S,-,-,-,-
2026-03-03 18:05:21:571,X,-911224,-15.52,TPOS_E,-910361,-15.5062,863,0.0147
2026-03-03 18:05:21:572,P,-48711,-4.98,TPOS_E,-48924,-5.0000,-213,-0.0218
2026-03-03 18:05:21:996,P,-48711,-4.98,TPOS,-1556014,-159.0221,-1507303,-154.0439
2026-03-03 18:05:22:018,X,-911224,-15.52,TPOS,-293546,-5.0000,617678,10.5210
2026-03-03 18:05:22:018,V,170117,-4.99,TPOS_E,170585,-5.0000,468,-0.0137
2026-03-03 18:05:22:083,V,170117,-4.99,TPOS,819227,-24.0122,649110,-19.0259
2026-03-03 18:05:22:105,Y,-293581,-5.00,TPOS_E,-293546,-5.0000,35,0.0006
2026-03-03 18:05:22:170,Y,-293581,-5.00,TPOS,-836909,-14.2551,-543328,-9.2545
2026-03-03 18:05:22:171,P,-48711,-4.98,TPOS_S,-,-,-,-
2026-03-03 18:05:22:295,X,-911224,-15.52,TPOS_S,-,-,-,-
2026-03-03 18:05:22:442,V,170117,-4.99,TPOS_S,-,-,-,-
2026-03-03 18:05:22:590,Y,-293581,-5.00,TPOS_S,-,-,-,-
2026-03-03 18:05:25:203,R,-2212204,-113.04,TPOS_E,-2211990,-113.0309,214,0.0109
2026-03-03 18:05:25:405,H,1468971,-43.06,TPOS_E,1467960,-43.0270,-1011,0.0296
2026-03-03 18:05:25:406,Y,-837660,-14.27,TPOS_E,-836909,-14.2551,751,0.0128
2026-03-03 18:05:25:631,R,-2212204,-113.04,TPOS,-97848,-5.0000,2114356,108.0419
2026-03-03 18:05:25:632,V,820140,-24.04,TPOS_E,819227,-24.0122,-913,0.0268
2026-03-03 18:05:25:653,Y,-837660,-14.27,TPOS,-293546,-5.0000,544114,9.2679
2026-03-03 18:05:25:676,H,1468971,-43.06,TPOS,170585,-5.0000,-1298386,38.0567
2026-03-03 18:05:25:699,V,820140,-24.04,TPOS,170585,-5.0000,-649555,19.0390
2026-03-03 18:05:25:805,R,-2212204,-113.04,TPOS_S,-,-,-,-
2026-03-03 18:05:25:953,Y,-837660,-14.27,TPOS_S,-,-,-,-
2026-03-03 18:05:26:080,H,1468971,-43.06,TPOS_S,-,-,-,-
2026-03-03 18:05:26:225,V,820140,-24.04,TPOS_S,-,-,-,-
2026-03-03 18:05:26:627,N,-5085923,63.53,TPOS_E,-5084845,63.5144,1078,-0.0135
2026-03-03 18:05:27:031,X,-293463,-5.00,TPOS_E,-293546,-5.0000,-83,-0.0014
2026-03-03 18:05:27:053,N,-5085923,63.53,TPOS,-400290,5.0000,4685633,-58.5278
2026-03-03 18:05:27:096,X,-293463,-5.00,TPOS,-910361,-15.5062,-616898,-10.5077
2026-03-03 18:05:27:242,N,-5085923,63.53,TPOS_S,-,-,-,-
2026-03-03 18:05:27:367,X,-293463,-5.00,TPOS_S,-,-,-,-
2026-03-03 18:05:30:179,Y,-293593,-5.00,TPOS_E,-293546,-5.0000,47,0.0008
2026-03-03 18:05:30:182,V,170118,-4.99,TPOS_E,170585,-5.0000,467,-0.0137
2026-03-03 18:05:30:588,X,-911247,-15.52,TPOS_E,-910361,-15.5062,886,0.0151
2026-03-03 18:05:30:610,Y,-293593,-5.00,TPOS,-836909,-14.2551,-543316,-9.2543
2026-03-03 18:05:30:632,V,170118,-4.99,TPOS,819227,-24.0122,649109,-19.0259
2026-03-03 18:05:30:655,X,-911247,-15.52,TPOS,-293546,-5.0000,617701,10.5213
2026-03-03 18:05:30:802,Y,-293593,-5.00,TPOS_S,-,-,-,-
2026-03-03 18:05:30:929,V,170118,-4.99,TPOS_S,-,-,-,-
2026-03-03 18:05:31:055,X,-911247,-15.52,TPOS_S,-,-,-,-
2026-03-03 18:05:31:658,P,-1556405,-159.06,TPOS_E,-1556014,-159.0221,391,0.0400
2026-03-03 18:05:32:083,P,-1556405,-159.06,TPOS,-48924,-5.0000,1507481,154.0621
2026-03-03 18:05:32:083,H,169558,-4.97,TPOS_E,170585,-5.0000,1027,-0.0301
2026-03-03 18:05:32:150,H,169558,-4.97,TPOS,1467960,-43.0270,1298402,-38.0572
2026-03-03 18:05:32:276,P,-1556405,-159.06,TPOS_S,-,-,-,-
2026-03-03 18:05:32:401,H,169558,-4.97,TPOS_S,-,-,-,-
2026-03-03 18:05:33:607,Y,-837610,-14.27,TPOS_E,-836909,-14.2551,701,0.0119
2026-03-03 18:05:34:030,Y,-837610,-14.27,TPOS,-293546,-5.0000,544064,9.2671
2026-03-03 18:05:34:114,V,820156,-24.04,TPOS_E,819227,-24.0122,-929,0.0272
2026-03-03 18:05:34:181,V,820156,-24.04,TPOS,170585,-5.0000,-649571,19.0394
2026-03-03 18:05:34:224,Y,-837610,-14.27,TPOS_S,-,-,-,-
2026-03-03 18:05:34:370,V,820156,-24.04,TPOS_S,-,-,-,-
2026-03-03 18:05:35:776,X,-293454,-5.00,TPOS_E,-293546,-5.0000,-92,-0.0016
2026-03-03 18:05:36:200,X,-293454,-5.00,TPOS,-910361,-15.5062,-616907,-10.5078
2026-03-03 18:05:36:386,X,-293454,-5.00,TPOS_S,-,-,-,-
2026-03-03 18:05:38:397,V,170148,-4.99,TPOS_E,170585,-5.0000,437,-0.0128
2026-03-03 18:05:38:599,Y,-293598,-5.00,TPOS_E,-293546,-5.0000,52,0.0009
2026-03-03 18:05:38:600,H,1468998,-43.06,TPOS_E,1467960,-43.0270,-1038,0.0304
2026-03-03 18:05:38:828,V,170148,-4.99,TPOS,819227,-24.0122,649079,-19.0250
2026-03-03 18:05:38:851,Y,-293598,-5.00,TPOS,-836909,-14.2551,-543311,-9.2543
2026-03-03 18:05:38:872,H,1468998,-43.06,TPOS,170585,-5.0000,-1298413,38.0575
2026-03-03 18:05:39:017,V,170148,-4.99,TPOS_S,-,-,-,-
2026-03-03 18:05:39:145,Y,-293598,-5.00,TPOS_S,-,-,-,-
2026-03-03 18:05:39:271,H,1468998,-43.06,TPOS_S,-,-,-,-
2026-03-03 18:05:39:473,X,-911243,-15.52,TPOS_E,-910361,-15.5062,882,0.0150
2026-03-03 18:05:39:675,Z,-3875012,-44.00,TPOS_E,-3874924,-44.0012,88,0.0010
2026-03-03 18:05:39:899,X,-911243,-15.52,TPOS,-293546,-5.0000,617697,10.5213
