DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-03-04 20:06:30:382,P,-48660,-4.97,TPOS,-9784,-0.9999,38876,3.9731
2026-03-04 20:06:30:405,Z,-2495621,-28.34,TPOS,-2397542,-27.2250,98079,1.1137
2026-03-04 20:06:30:429,X,-715670,-12.19,TPOS,-1199824,-20.4367,-484154,-8.2466
2026-03-04 20:06:30:451,Y,-678711,-11.56,TPOS,-803572,-13.6873,-124861,-2.1268
2026-03-04 20:06:30:473,V,820208,-24.04,TPOS,852929,-25.0000,32721,-0.9591
2026-03-04 20:06:30:494,H,820491,-24.05,TPOS,852929,-25.0000,32438,-0.9508
2026-03-04 20:06:30:517,N,-3584161,44.77,TPOS,-838209,10.4700,2745952,-34.2995
2026-03-04 20:06:30:539,R,-2212203,-113.04,TPOS,-1174186,-60.0000,1038017,53.0418
2026-03-04 20:06:30:770,P,-48660,-4.97,TPOS_S,-,-,-,-
2026-03-04 20:06:30:896,Z,-2495621,-28.34,TPOS_S,-,-,-,-
2026-03-04 20:06:31:023,X,-715670,-12.19,TPOS_S,-,-,-,-
2026-03-04 20:06:31:151,P,-9511,-0.97,TPOS_E,-9784,-0.9999,-273,-0.0279
2026-03-04 20:06:31:151,Y,-678711,-11.56,TPOS_S,-,-,-,-
2026-03-04 20:06:31:300,V,820208,-24.04,TPOS_S,-,-,-,-
2026-03-04 20:06:31:408,H,820491,-24.05,TPOS_S,-,-,-,-
2026-03-04 20:06:31:513,Z,-2396867,-27.22,TPOS_E,-2397542,-27.2250,-675,-0.0077
2026-03-04 20:06:31:556,N,-3584161,44.77,TPOS_S,-,-,-,-
2026-03-04 20:06:31:577,V,853781,-25.02,TPOS_E,852929,-25.0000,-852,0.0250
2026-03-04 20:06:31:661,H,853858,-25.03,TPOS_E,852929,-25.0000,-929,0.0272
2026-03-04 20:06:31:686,R,-2212203,-113.04,TPOS_S,-,-,-,-
2026-03-04 20:06:32:088,Y,-804065,-13.70,TPOS_E,-803572,-13.6873,493,0.0084
2026-03-04 20:06:33:699,X,-1200630,-20.45,TPOS_E,-1199824,-20.4367,806,0.0137
2026-03-04 20:06:39:124,R,-1173847,-59.98,TPOS_E,-1174186,-60.0000,-339,-0.0173
2026-03-04 20:06:44:147,N,-836997,10.45,TPOS_E,-838209,10.4700,-1212,0.0151
