DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-03-20 18:33:55:606,Y,-804088,-13.70,TPOS_Z,-,-,-,-
2026-03-20 18:33:55:606,Y,0,0.00,TPOS_I,-,-,-,-
2026-03-20 18:33:56:943,P,-8821,-0.90,TPOS_Z,-,-,-,-
2026-03-20 18:33:56:987,P,0,0.00,TPOS_I,-,-,-,-
2026-03-20 18:33:57:232,Y,0,0.00,TPOS,-1144831,-19.5000,-1144831,-19.5000
2026-03-20 18:33:57:254,X,-1200518,-20.45,TPOS_Z,-,-,-,-
2026-03-20 18:33:57:296,X,0,0.00,TPOS_I,-,-,-,-
2026-03-20 18:33:57:489,Y,0,0.00,TPOS_S,-,-,-,-
2026-03-20 18:34:00:844,N,-836983,10.45,TPOS_Z,-,-,-,-
2026-03-20 18:34:00:845,N,0,0.00,TPOS_I,-,-,-,-
2026-03-20 18:34:04:061,Y,-1145322,-19.51,TPOS_E,-1144831,-19.5000,491,0.0084
2026-03-20 18:34:04:287,P,0,0.00,TPOS,-1614506,-164.9999,-1614506,-164.9999
2026-03-20 18:34:04:309,Y,-1145322,-19.51,TPOS,-176127,-3.0000,969195,16.5084
2026-03-20 18:34:04:331,N,0,0.00,TPOS,-5564043,69.5000,-5564043,69.5000
2026-03-20 18:34:04:353,X,0,0.00,TPOS,-1291605,-22.0000,-1291605,-22.0000
2026-03-20 18:34:04:677,Z,-3072949,-34.89,TPOS_Z,-,-,-,-
2026-03-20 18:34:04:677,P,0,0.00,TPOS_S,-,-,-,-
2026-03-20 18:34:04:677,Z,0,0.00,TPOS_I,-,-,-,-
2026-03-20 18:34:04:677,Y,-1145322,-19.51,TPOS_S,-,-,-,-
2026-03-20 18:34:04:978,N,0,0.00,TPOS_S,-,-,-,-
2026-03-20 18:34:04:978,X,0,0.00,TPOS_S,-,-,-,-
2026-03-20 18:34:05:281,Z,0,0.00,TPOS,-4403200,-50.0000,-4403200,-50.0000
2026-03-20 18:34:05:528,Z,0,0.00,TPOS_S,-,-,-,-
2026-03-20 18:34:09:359,H,851623,-24.96,TPOS_Z,-,-,-,-
2026-03-20 18:34:09:360,H,0,0.00,TPOS_I,-,-,-,-
2026-03-20 18:34:09:963,H,0,0.00,TPOS,1671740,-49.0000,1671740,-49.0000
2026-03-20 18:34:10:151,H,0,0.00,TPOS_S,-,-,-,-
2026-03-20 18:34:11:561,X,-1292263,-22.01,TPOS_E,-1291605,-22.0000,658,0.0112
2026-03-20 18:34:11:987,X,-1292263,-22.01,TPOS,-176127,-3.0000,1116136,19.0112
2026-03-20 18:34:12:173,X,-1292263,-22.01,TPOS_S,-,-,-,-
2026-03-20 18:34:12:374,P,-1615471,-165.10,TPOS_E,-1614506,-164.9999,965,0.0986
2026-03-20 18:34:12:803,P,-1615471,-165.10,TPOS,-9784,-0.9999,1605687,164.0986
2026-03-20 18:34:12:988,P,-1615471,-165.10,TPOS_S,-,-,-,-
2026-03-20 18:34:15:406,Y,-176155,-3.00,TPOS_E,-176127,-3.0000,28,0.0005
2026-03-20 18:34:17:825,H,1672679,-49.03,TPOS_E,1671740,-49.0000,-939,0.0275
2026-03-20 18:34:18:253,H,1672679,-49.03,TPOS,852929,-25.0000,-819750,24.0275
2026-03-20 18:34:18:438,H,1672679,-49.03,TPOS_S,-,-,-,-
2026-03-20 18:34:20:856,P,-8779,-0.90,TPOS_E,-9784,-0.9999,-1005,-0.1027
2026-03-20 18:34:21:444,X,-175981,-3.00,TPOS_E,-176127,-3.0000,-146,-0.0025
2026-03-20 18:34:22:162,H,851653,-24.96,TPOS_E,852929,-25.0000,1276,-0.0374
2026-03-20 18:34:28:104,V,852465,-24.99,TPOS_Z,-,-,-,-
2026-03-20 18:34:28:307,V,0,0.00,TPOS_I,-,-,-,-
2026-03-20 18:34:28:656,R,-1173694,-59.97,TPOS_Z,-,-,-,-
2026-03-20 18:34:28:699,R,0,0.00,TPOS_I,-,-,-,-
2026-03-20 18:34:28:932,V,0,0.00,TPOS,1671740,-49.0000,1671740,-49.0000
2026-03-20 18:34:29:017,R,0,0.00,TPOS,-2328803,-119.0000,-2328803,-119.0000
2026-03-20 18:34:29:120,V,0,0.00,TPOS_S,-,-,-,-
2026-03-20 18:34:29:267,R,0,0.00,TPOS_S,-,-,-,-
2026-03-20 18:34:29:873,N,-5565279,69.52,TPOS_E,-5564043,69.5000,1236,-0.0154
2026-03-20 18:34:29:873,Z,-4403468,-50.00,TPOS_E,-4403200,-50.0000,268,0.0030
2026-03-20 18:34:30:303,Z,-4403468,-50.00,TPOS,-3073433,-34.9000,1330035,15.1031
