DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-03-31 09:44:07:415,Z,-3116001,-35.38,TPOS,-1795041,-20.3834,1320960,15.0000
2026-03-31 09:44:07:437,V,817618,-23.97,TPOS,818006,-23.9764,388,-0.0114
2026-03-31 09:44:07:460,H,885738,-25.96,TPOS,887022,-25.9993,1284,-0.0376
2026-03-31 09:44:07:712,Z,-3116001,-35.38,TPOS_S,-,-,-,-
2026-03-31 09:44:07:838,V,817618,-23.97,TPOS_S,-,-,-,-
2026-03-31 09:44:07:921,V,817654,-23.97,TPOS_E,818006,-23.9764,352,-0.0103
2026-03-31 09:44:07:984,H,885738,-25.96,TPOS_S,-,-,-,-
2026-03-31 09:44:08:188,H,887370,-26.01,TPOS_E,887022,-25.9993,-348,0.0102
2026-03-31 09:44:14:416,Z,-1794423,-20.38,TPOS_E,-1795041,-20.3834,-618,-0.0070
2026-03-31 09:44:14:841,Y,-782739,-13.33,TPOS,-679028,-11.5659,103711,1.7665
2026-03-31 09:44:14:863,X,-1104765,-18.82,TPOS,-1229122,-20.9357,-124357,-2.1182
2026-03-31 09:44:15:051,Y,-782739,-13.33,TPOS_S,-,-,-,-
2026-03-31 09:44:15:155,X,-1104765,-18.82,TPOS_S,-,-,-,-
2026-03-31 09:44:15:957,X,-1229825,-20.95,TPOS_E,-1229122,-20.9357,703,0.0120
2026-03-31 09:44:16:159,Y,-679187,-11.57,TPOS_E,-679028,-11.5659,159,0.0027
2026-03-31 09:44:16:586,Z,-1794423,-20.38,TPOS,-3116001,-35.3834,-1321578,-15.0070
2026-03-31 09:44:16:774,Z,-1794423,-20.38,TPOS_S,-,-,-,-
2026-03-31 09:44:23:597,Z,-3116646,-35.39,TPOS_E,-3116001,-35.3834,645,0.0073
2026-03-31 09:44:24:024,P,-1592759,-162.78,TPOS,-1254560,-128.2140,338199,34.5634
2026-03-31 09:44:24:046,V,817654,-23.97,TPOS,1171025,-34.3236,353371,-10.3576
2026-03-31 09:44:24:068,H,887370,-26.01,TPOS,571265,-16.7442,-316105,9.2653
2026-03-31 09:44:24:090,N,-949127,11.86,TPOS,-2684076,33.5266,-1734949,21.6711
2026-03-31 09:44:24:216,P,-1592759,-162.78,TPOS_S,-,-,-,-
2026-03-31 09:44:24:344,V,817654,-23.97,TPOS_S,-,-,-,-
2026-03-31 09:44:24:490,H,887370,-26.01,TPOS_S,-,-,-,-
2026-03-31 09:44:24:595,N,-949127,11.86,TPOS_S,-,-,-,-
2026-03-31 09:44:26:001,P,-1253539,-128.11,TPOS_E,-1254560,-128.2140,-1021,-0.1043
2026-03-31 09:44:26:203,H,570071,-16.71,TPOS_E,571265,-16.7442,1194,-0.0350
2026-03-31 09:44:26:203,V,1172078,-34.35,TPOS_E,1171025,-34.3236,-1053,0.0309
2026-03-31 09:44:32:624,N,-2685241,33.54,TPOS_E,-2684076,33.5266,1165,-0.0146
