
2026-02-03 18:13:15:065 Info  @UtlLogger instance created
2026-02-03 18:13:15:066 Info  @starting UroFusion (SVN 820)

2026-02-03 18:13:46:696 User  @user 'Service' login
2026-02-03 18:13:46:770 Info  @UroFusion launched

2026-02-03 18:14:13:775 User  @system menu selected (About)

2026-02-03 18:14:27:105 User  @on_startOpenCase_clicked

2026-02-03 18:14:44:105 User  @on_startCreateCase_clicked

2026-02-03 18:14:50:785 User  @on_startOpenCase_clicked
2026-02-03 18:15:00:941 Info  @UroFusion exited
