DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-04-20 13:40:37:897,Z,-3024990,-34.35,TPOS,-2580275,-29.3000,444715,5.0499
2026-04-20 13:40:37:918,X,-1012819,-17.25,TPOS,-1128905,-19.2287,-116086,-1.9773
2026-04-20 13:40:37:940,Y,-948893,-16.16,TPOS,-827396,-14.0931,121497,2.0695
2026-04-20 13:40:37:961,V,777889,-22.80,TPOS,789271,-23.1341,11382,-0.3336
2026-04-20 13:40:37:984,H,928625,-27.22,TPOS,892194,-26.1509,-36431,1.0678
2026-04-20 13:40:38:005,R,-903438,-46.16,TPOS,-1174186,-60.0000,-270748,-13.8350
2026-04-20 13:40:38:172,Z,-3024988,-34.35,TPOS_S,-,-,-,-
2026-04-20 13:40:38:297,X,-1012819,-17.25,TPOS_S,-,-,-,-
2026-04-20 13:40:38:443,Y,-948893,-16.16,TPOS_S,-,-,-,-
2026-04-20 13:40:38:589,V,777889,-22.80,TPOS_S,-,-,-,-
2026-04-20 13:40:38:716,H,928625,-27.22,TPOS_S,-,-,-,-
2026-04-20 13:40:38:758,V,790238,-23.16,TPOS_E,789271,-23.1341,-967,0.0283
2026-04-20 13:40:38:841,R,-903438,-46.16,TPOS_S,-,-,-,-
2026-04-20 13:40:39:042,H,890840,-26.11,TPOS_E,892194,-26.1509,1354,-0.0397
2026-04-20 13:40:39:042,X,-1129473,-19.24,TPOS_E,-1128905,-19.2287,568,0.0097
2026-04-20 13:40:39:645,Y,-827513,-14.10,TPOS_E,-827396,-14.0931,117,0.0020
2026-04-20 13:40:40:448,Z,-2579404,-29.29,TPOS_E,-2580275,-29.3000,-871,-0.0099
2026-04-20 13:40:40:649,R,-1174813,-60.03,TPOS_E,-1174186,-60.0000,627,0.0320
