DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-04-21 15:04:39:505,P,-1274499,-130.25,TPOS_E,-1275111,-130.3143,-612,-0.0625
2026-04-21 15:04:52:842,P,-1274500,-130.25,TPOS,-1338712,-136.8142,-64212,-6.5624
2026-04-21 15:04:52:864,R,-1174149,-60.00,TPOS,-1174186,-60.0000,-37,-0.0019
2026-04-21 15:04:53:159,P,-1274500,-130.25,TPOS_S,-,-,-,-
2026-04-21 15:04:53:263,R,-1174149,-60.00,TPOS_S,-,-,-,-
2026-04-21 15:04:53:464,R,-1174193,-60.00,TPOS_E,-1174186,-60.0000,7,0.0004
2026-04-21 15:04:53:667,P,-1339455,-136.89,TPOS_E,-1338712,-136.8142,743,0.0759
2026-04-21 15:04:53:894,P,-1339455,-136.89,TPOS,-1333820,-136.3143,5635,0.5759
2026-04-21 15:04:54:062,P,-1339455,-136.89,TPOS_S,-,-,-,-
2026-04-21 15:04:54:263,P,-1333329,-136.26,TPOS_E,-1333820,-136.3143,-491,-0.0502
2026-04-21 15:04:54:487,P,-1333329,-136.26,TPOS,-1328927,-135.8142,4402,0.4499
2026-04-21 15:04:54:696,P,-1333329,-136.26,TPOS_S,-,-,-,-
2026-04-21 15:04:54:898,P,-1328466,-135.77,TPOS_E,-1328927,-135.8142,-461,-0.0471
2026-04-21 15:04:55:123,P,-1328466,-135.77,TPOS,-1324035,-135.3142,4431,0.4528
2026-04-21 15:04:55:313,P,-1328466,-135.77,TPOS_S,-,-,-,-
2026-04-21 15:04:55:514,P,-1323512,-135.26,TPOS_E,-1324035,-135.3142,-523,-0.0534
2026-04-21 15:04:55:739,P,-1323512,-135.26,TPOS,-1319143,-134.8143,4369,0.4465
2026-04-21 15:04:55:927,P,-1323512,-135.26,TPOS_S,-,-,-,-
2026-04-21 15:04:56:128,P,-1318585,-134.76,TPOS_E,-1319143,-134.8143,-558,-0.0570
2026-04-21 15:04:56:351,P,-1318585,-134.76,TPOS,-1314250,-134.3142,4335,0.4430
2026-04-21 15:04:56:538,P,-1318585,-134.76,TPOS_S,-,-,-,-
2026-04-21 15:04:56:740,P,-1313675,-134.26,TPOS_E,-1314250,-134.3142,-575,-0.0588
2026-04-21 15:04:56:963,P,-1313675,-134.26,TPOS,-1309358,-133.8143,4317,0.4412
2026-04-21 15:04:57:151,P,-1313675,-134.26,TPOS_S,-,-,-,-
2026-04-21 15:04:57:352,P,-1308758,-133.75,TPOS_E,-1309358,-133.8143,-600,-0.0613
2026-04-21 15:04:57:574,P,-1308758,-133.75,TPOS,-1304465,-133.3142,4293,0.4387
2026-04-21 15:04:57:763,P,-1308758,-133.75,TPOS_S,-,-,-,-
2026-04-21 15:04:57:964,P,-1303808,-133.25,TPOS_E,-1304465,-133.3142,-657,-0.0671
2026-04-21 15:04:58:187,P,-1303808,-133.25,TPOS,-1299573,-132.8143,4235,0.4328
2026-04-21 15:04:58:374,P,-1303808,-133.25,TPOS_S,-,-,-,-
2026-04-21 15:04:58:577,P,-1298897,-132.75,TPOS_E,-1299573,-132.8143,-676,-0.0691
2026-04-21 15:04:58:800,P,-1298897,-132.75,TPOS,-1294680,-132.3142,4217,0.4310
2026-04-21 15:04:58:988,P,-1298897,-132.75,TPOS_S,-,-,-,-
2026-04-21 15:04:59:189,P,-1294004,-132.25,TPOS_E,-1294680,-132.3142,-676,-0.0691
2026-04-21 15:04:59:412,P,-1294004,-132.25,TPOS,-1289788,-131.8143,4216,0.4309
2026-04-21 15:04:59:600,P,-1294004,-132.25,TPOS_S,-,-,-,-
2026-04-21 15:04:59:801,P,-1289130,-131.75,TPOS_E,-1289788,-131.8143,-658,-0.0672
2026-04-21 15:05:00:024,P,-1289130,-131.75,TPOS,-1284895,-131.3142,4235,0.4328
2026-04-21 15:05:00:213,P,-1289130,-131.75,TPOS_S,-,-,-,-
2026-04-21 15:05:00:415,P,-1284254,-131.25,TPOS_E,-1284895,-131.3142,-641,-0.0655
2026-04-21 15:05:00:638,P,-1284254,-131.25,TPOS,-1280003,-130.8142,4251,0.4344
2026-04-21 15:05:00:824,P,-1284254,-131.25,TPOS_S,-,-,-,-
2026-04-21 15:05:01:027,P,-1279373,-130.75,TPOS_E,-1280003,-130.8142,-630,-0.0644
2026-04-21 15:05:01:251,P,-1279373,-130.75,TPOS,-1275111,-130.3143,4262,0.4356
2026-04-21 15:05:01:439,P,-1279373,-130.75,TPOS_S,-,-,-,-
2026-04-21 15:05:01:640,P,-1274497,-130.25,TPOS_E,-1275111,-130.3143,-614,-0.0627
2026-04-21 15:05:01:864,P,-1274497,-130.25,TPOS,-1270218,-129.8142,4279,0.4373
2026-04-21 15:05:02:031,P,-1274497,-130.25,TPOS_S,-,-,-,-
2026-04-21 15:05:02:233,P,-1269675,-129.76,TPOS_E,-1270218,-129.8142,-543,-0.0555
2026-04-21 15:05:02:458,P,-1269675,-129.76,TPOS,-1265326,-129.3143,4349,0.4445
2026-04-21 15:05:02:647,P,-1269675,-129.76,TPOS_S,-,-,-,-
2026-04-21 15:05:02:848,P,-1264857,-129.27,TPOS_E,-1265326,-129.3143,-469,-0.0479
2026-04-21 15:05:03:070,P,-1264857,-129.27,TPOS,-1260433,-128.8142,4424,0.4521
2026-04-21 15:05:03:257,P,-1264857,-129.27,TPOS_S,-,-,-,-
2026-04-21 15:05:03:458,P,-1260000,-128.77,TPOS_E,-1260433,-128.8142,-433,-0.0443
2026-04-21 15:05:03:681,P,-1260000,-128.77,TPOS,-1255541,-128.3143,4459,0.4557
2026-04-21 15:05:03:869,P,-1260000,-128.77,TPOS_S,-,-,-,-
