DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-04-23 10:26:44:979,R,-2329416,-119.03,TPOS_E,-2328803,-119.0000,613,0.0313
2026-04-23 10:26:45:021,N,-5565169,69.51,TPOS_E,-5564043,69.5000,1126,-0.0141
2026-04-23 10:26:45:309,Z,-4403278,-50.00,TPOS_E,-4403200,-50.0000,78,0.0009
2026-04-23 10:27:03:713,Y,-804222,-13.70,TPOS_Z,-,-,-,-
2026-04-23 10:27:03:714,Y,0,0.00,TPOS_I,-,-,-,-
2026-04-23 10:27:05:068,P,-9500,-0.97,TPOS_Z,-,-,-,-
2026-04-23 10:27:05:111,P,0,0.00,TPOS_I,-,-,-,-
2026-04-23 10:27:05:358,Y,0,0.00,TPOS,-1144831,-19.5000,-1144831,-19.5000
2026-04-23 10:27:05:625,Y,0,0.00,TPOS_S,-,-,-,-
2026-04-23 10:27:05:829,X,-1141144,-19.44,TPOS_Z,-,-,-,-
2026-04-23 10:27:05:829,X,0,0.00,TPOS_I,-,-,-,-
2026-04-23 10:27:11:832,Y,-1145479,-19.51,TPOS_E,-1144831,-19.5000,648,0.0110
2026-04-23 10:27:12:058,P,0,0.00,TPOS,-1614506,-164.9999,-1614506,-164.9999
2026-04-23 10:27:12:081,Y,-1145479,-19.51,TPOS,-176127,-3.0000,969352,16.5110
2026-04-23 10:27:12:104,X,0,0.00,TPOS,-1291605,-22.0000,-1291605,-22.0000
2026-04-23 10:27:12:426,P,0,0.00,TPOS_S,-,-,-,-
2026-04-23 10:27:12:426,Y,-1145479,-19.51,TPOS_S,-,-,-,-
2026-04-23 10:27:12:727,X,0,0.00,TPOS_S,-,-,-,-
2026-04-23 10:27:17:111,H,851753,-24.97,TPOS_Z,-,-,-,-
2026-04-23 10:27:17:112,H,0,0.00,TPOS_I,-,-,-,-
2026-04-23 10:27:17:709,H,0,0.00,TPOS,1671740,-49.0000,1671740,-49.0000
2026-04-23 10:27:17:893,H,0,0.00,TPOS_S,-,-,-,-
2026-04-23 10:27:19:297,X,-1292157,-22.01,TPOS_E,-1291605,-22.0000,552,0.0094
2026-04-23 10:27:19:722,X,-1292157,-22.01,TPOS,-176127,-3.0000,1116030,19.0094
2026-04-23 10:27:19:906,X,-1292157,-22.01,TPOS_S,-,-,-,-
2026-04-23 10:27:20:910,Y,-176218,-3.00,TPOS_E,-176127,-3.0000,91,0.0016
2026-04-23 10:27:21:712,P,-1614723,-165.02,TPOS_E,-1614506,-164.9999,217,0.0222
