DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-04-23 18:04:56:217,P,-9655,-0.99,TPOS,-48924,-5.0000,-39269,-4.0132
2026-04-23 18:04:56:239,Z,-3072962,-34.89,TPOS,-440320,-5.0000,2632642,29.8946
2026-04-23 18:04:56:262,X,-1200799,-20.45,TPOS,-293546,-5.0000,907253,15.4533
2026-04-23 18:04:56:283,Y,-804201,-13.70,TPOS,-293546,-5.0000,510655,8.6980
2026-04-23 18:04:56:306,V,852502,-24.99,TPOS,170585,-5.0000,-681917,19.9875
2026-04-23 18:04:56:328,H,851701,-24.96,TPOS,170585,-5.0000,-681116,19.9640
2026-04-23 18:04:56:349,N,-837073,10.46,TPOS,-400290,5.0000,436783,-5.4558
2026-04-23 18:04:56:370,R,-1173943,-59.99,TPOS,-97848,-5.0000,1076095,54.9876
2026-04-23 18:04:56:474,P,-9655,-0.99,TPOS_S,-,-,-,-
2026-04-23 18:04:56:621,Z,-3072962,-34.89,TPOS_S,-,-,-,-
2026-04-23 18:04:56:749,X,-1200799,-20.45,TPOS_S,-,-,-,-
2026-04-23 18:04:56:832,P,-49261,-5.03,TPOS_E,-48924,-5.0000,337,0.0344
2026-04-23 18:04:56:854,Y,-804201,-13.70,TPOS_S,-,-,-,-
2026-04-23 18:04:56:899,P,-49261,-5.03,TPOS,-1555870,-159.0074,-1506609,-153.9730
2026-04-23 18:04:57:005,V,852502,-24.99,TPOS_S,-,-,-,-
2026-04-23 18:04:57:130,H,851701,-24.96,TPOS_S,-,-,-,-
2026-04-23 18:04:57:258,N,-837073,10.46,TPOS_S,-,-,-,-
2026-04-23 18:04:57:383,R,-1173943,-59.99,TPOS_S,-,-,-,-
2026-04-23 18:04:57:507,P,-49261,-5.03,TPOS_S,-,-,-,-
2026-04-23 18:04:59:515,N,-399177,4.99,TPOS_E,-400290,5.0000,-1113,0.0139
2026-04-23 18:04:59:940,N,-399177,4.99,TPOS,-5084806,63.5139,-4685629,58.5278
