DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-04-23 20:13:13:906,P,-1044954,-106.79,TPOS,-9784,-0.9999,1035170,105.7927
2026-04-23 20:13:13:929,Z,-2918852,-33.14,TPOS,-2397542,-27.2250,521310,5.9197
2026-04-23 20:13:13:952,X,-557909,-9.50,TPOS,-1199824,-20.4367,-641915,-10.9338
2026-04-23 20:13:13:974,Y,-522354,-8.90,TPOS,-803572,-13.6873,-281218,-4.7900
2026-04-23 20:13:13:995,V,169965,-4.98,TPOS,852929,-25.0000,682964,-20.0182
2026-04-23 20:13:14:017,H,169620,-4.97,TPOS,852929,-25.0000,683309,-20.0283
2026-04-23 20:13:14:040,N,-3824766,47.77,TPOS,-838209,10.4700,2986557,-37.3048
2026-04-23 20:13:14:061,R,-1310966,-66.99,TPOS,-1174186,-60.0000,136780,6.9893
2026-04-23 20:13:14:288,P,-1044954,-106.79,TPOS_S,-,-,-,-
2026-04-23 20:13:14:431,Z,-2918852,-33.14,TPOS_S,-,-,-,-
2026-04-23 20:13:14:555,X,-557909,-9.50,TPOS_S,-,-,-,-
2026-04-23 20:13:14:680,Y,-522354,-8.90,TPOS_S,-,-,-,-
2026-04-23 20:13:14:825,V,169965,-4.98,TPOS_S,-,-,-,-
2026-04-23 20:13:14:928,H,169620,-4.97,TPOS_S,-,-,-,-
2026-04-23 20:13:15:073,N,-3824766,47.77,TPOS_S,-,-,-,-
2026-04-23 20:13:15:196,R,-1310966,-66.99,TPOS_S,-,-,-,-
2026-04-23 20:13:16:200,R,-1173961,-59.99,TPOS_E,-1174186,-60.0000,-225,-0.0115
2026-04-23 20:13:16:402,Y,-804311,-13.70,TPOS_E,-803572,-13.6873,739,0.0126
2026-04-23 20:13:17:408,Z,-2397482,-27.22,TPOS_E,-2397542,-27.2250,-60,-0.0007
2026-04-23 20:13:17:809,X,-1200740,-20.45,TPOS_E,-1199824,-20.4367,916,0.0156
2026-04-23 20:13:18:211,V,853901,-25.03,TPOS_E,852929,-25.0000,-972,0.0285
2026-04-23 20:13:18:211,H,854061,-25.03,TPOS_E,852929,-25.0000,-1132,0.0332
2026-04-23 20:13:20:820,P,-9576,-0.98,TPOS_E,-9784,-0.9999,-208,-0.0213
2026-04-23 20:13:28:846,N,-837117,10.46,TPOS_E,-838209,10.4700,-1092,0.0136
