DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-03-03 00:02:42:956,P,-1514093,-154.74,TPOS,-9784,-0.9999,1504309,153.7380
2026-03-03 00:02:42:977,Z,-1750589,-19.88,TPOS,-2397542,-27.2250,-646953,-7.3464
2026-03-03 00:02:43:000,X,-293492,-5.00,TPOS,-1199824,-20.4367,-906332,-15.4376
2026-03-03 00:02:43:022,Y,-293662,-5.00,TPOS,-803572,-13.6873,-509910,-8.6853
2026-03-03 00:02:43:044,V,820228,-24.04,TPOS,852929,-25.0000,32701,-0.9585
2026-03-03 00:02:43:066,H,913468,-26.77,TPOS,852929,-25.0000,-60539,1.7744
2026-03-03 00:02:43:089,N,-1163898,14.54,TPOS,-838209,10.4700,325689,-4.0682
2026-03-03 00:02:43:112,R,-135290,-6.91,TPOS,-1174186,-60.0000,-1038896,-53.0867
2026-03-03 00:02:43:345,P,-1514093,-154.74,TPOS_S,-,-,-,-
2026-03-03 00:02:43:473,Z,-1750589,-19.88,TPOS_S,-,-,-,-
2026-03-03 00:02:43:603,X,-293492,-5.00,TPOS_S,-,-,-,-
2026-03-03 00:02:43:713,Y,-293662,-5.00,TPOS_S,-,-,-,-
2026-03-03 00:02:43:861,V,820228,-24.04,TPOS_S,-,-,-,-
2026-03-03 00:02:43:989,H,913468,-26.77,TPOS_S,-,-,-,-
2026-03-03 00:02:44:117,N,-1163898,14.54,TPOS_S,-,-,-,-
2026-03-03 00:02:44:139,V,853870,-25.03,TPOS_E,852929,-25.0000,-941,0.0276
2026-03-03 00:02:44:269,R,-135290,-6.91,TPOS_S,-,-,-,-
2026-03-03 00:02:44:470,H,851834,-24.97,TPOS_E,852929,-25.0000,1095,-0.0321
2026-03-03 00:02:45:882,N,-836913,10.45,TPOS_E,-838209,10.4700,-1296,0.0162
2026-03-03 00:02:46:489,Y,-804319,-13.70,TPOS_E,-803572,-13.6873,747,0.0127
2026-03-03 00:02:47:498,Z,-2397652,-27.23,TPOS_E,-2397542,-27.2250,110,0.0012
2026-03-03 00:02:48:303,X,-1200637,-20.45,TPOS_E,-1199824,-20.4367,813,0.0138
2026-03-03 00:02:51:534,R,-1174758,-60.03,TPOS_E,-1174186,-60.0000,572,0.0292
2026-03-03 00:02:52:543,P,-9580,-0.98,TPOS_E,-9784,-0.9999,-204,-0.0208
