DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-04-08 11:14:19:035,X,-946132,-16.12,TPOS,-1121651,-19.1052,-175519,-2.9896
2026-04-08 11:14:19:058,Y,-1305150,-22.23,TPOS,-784657,-13.3651,520493,8.8656
2026-04-08 11:14:19:080,V,828105,-24.27,TPOS,1255552,-36.8012,427447,-12.5288
2026-04-08 11:14:19:102,H,858526,-25.16,TPOS,440947,-12.9245,-417579,12.2396
2026-04-08 11:14:19:333,X,-946132,-16.12,TPOS_S,-,-,-,-
2026-04-08 11:14:19:459,Y,-1305150,-22.23,TPOS_S,-,-,-,-
2026-04-08 11:14:19:585,V,828105,-24.27,TPOS_S,-,-,-,-
2026-04-08 11:14:19:733,H,858526,-25.16,TPOS_S,-,-,-,-
2026-04-08 11:14:20:537,X,-1122186,-19.11,TPOS_E,-1121651,-19.1052,535,0.0091
2026-04-08 11:14:21:943,V,1256379,-36.83,TPOS_E,1255552,-36.8012,-827,0.0242
2026-04-08 11:14:21:943,H,439958,-12.90,TPOS_E,440947,-12.9245,989,-0.0290
2026-04-08 11:14:24:152,Y,-784513,-13.36,TPOS_E,-784657,-13.3651,-144,-0.0025
