DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-04-14 15:47:37:711,P,-1448206,-148.00,TPOS,-1421842,-145.3100,26364,2.6944
2026-04-14 15:47:37:732,R,-1173913,-59.99,TPOS,-1174186,-60.0000,-273,-0.0140
2026-04-14 15:47:38:008,P,-1448206,-148.00,TPOS_S,-,-,-,-
2026-04-14 15:47:38:134,R,-1173913,-59.99,TPOS_S,-,-,-,-
2026-04-14 15:47:38:335,R,-1173940,-59.99,TPOS_E,-1174186,-60.0000,-246,-0.0126
2026-04-14 15:47:38:335,P,-1421618,-145.29,TPOS_E,-1421842,-145.3100,-224,-0.0229
2026-04-14 15:47:38:557,P,-1421618,-145.29,TPOS,-1412057,-144.3100,9561,0.9771
2026-04-14 15:47:38:747,P,-1421618,-145.29,TPOS_S,-,-,-,-
2026-04-14 15:47:38:948,P,-1411749,-144.28,TPOS_E,-1412057,-144.3100,-308,-0.0315
2026-04-14 15:47:39:173,P,-1411749,-144.28,TPOS,-1402272,-143.3099,9477,0.9685
2026-04-14 15:47:39:340,P,-1411749,-144.28,TPOS_S,-,-,-,-
2026-04-14 15:47:39:542,P,-1401871,-143.27,TPOS_E,-1402272,-143.3099,-401,-0.0410
2026-04-14 15:47:39:765,P,-1401871,-143.27,TPOS,-1392487,-142.3099,9384,0.9590
2026-04-14 15:47:39:955,P,-1401871,-143.27,TPOS_S,-,-,-,-
2026-04-14 15:47:40:156,P,-1391984,-142.26,TPOS_E,-1392487,-142.3099,-503,-0.0514
2026-04-14 15:47:40:382,P,-1391984,-142.26,TPOS,-1382702,-141.3099,9282,0.9486
2026-04-14 15:47:40:571,P,-1391984,-142.26,TPOS_S,-,-,-,-
2026-04-14 15:47:40:773,P,-1382232,-141.26,TPOS_E,-1382702,-141.3099,-470,-0.0480
2026-04-14 15:47:40:996,P,-1382232,-141.26,TPOS,-1372917,-140.3099,9315,0.9520
2026-04-14 15:47:41:163,P,-1382232,-141.26,TPOS_S,-,-,-,-
2026-04-14 15:47:41:365,P,-1372496,-140.27,TPOS_E,-1372917,-140.3099,-421,-0.0430
2026-04-14 15:47:41:588,P,-1372496,-140.27,TPOS,-1363133,-139.3100,9363,0.9569
2026-04-14 15:47:41:777,P,-1372496,-140.27,TPOS_S,-,-,-,-
2026-04-14 15:47:41:978,P,-1362708,-139.27,TPOS_E,-1363133,-139.3100,-425,-0.0434
2026-04-14 15:47:42:201,P,-1362708,-139.27,TPOS,-1353348,-138.3100,9360,0.9566
2026-04-14 15:47:42:389,P,-1362708,-139.27,TPOS_S,-,-,-,-
2026-04-14 15:47:42:591,P,-1352899,-138.26,TPOS_E,-1353348,-138.3100,-449,-0.0459
2026-04-14 15:47:42:814,P,-1352899,-138.26,TPOS,-1343563,-137.3100,9336,0.9541
2026-04-14 15:47:43:003,P,-1352899,-138.26,TPOS_S,-,-,-,-
2026-04-14 15:47:43:204,P,-1343229,-137.28,TPOS_E,-1343563,-137.3100,-334,-0.0341
2026-04-14 15:47:43:426,P,-1343229,-137.28,TPOS,-1333778,-136.3100,9451,0.9659
2026-04-14 15:47:43:615,P,-1343229,-137.28,TPOS_S,-,-,-,-
2026-04-14 15:47:43:817,P,-1333448,-136.28,TPOS_E,-1333778,-136.3100,-330,-0.0337
2026-04-14 15:47:44:040,P,-1333448,-136.28,TPOS,-1323993,-135.3100,9455,0.9663
2026-04-14 15:47:44:228,P,-1333448,-136.28,TPOS_S,-,-,-,-
2026-04-14 15:47:44:429,P,-1323650,-135.27,TPOS_E,-1323993,-135.3100,-343,-0.0351
2026-04-14 15:47:44:653,P,-1323650,-135.27,TPOS,-1314208,-134.3099,9442,0.9650
2026-04-14 15:47:44:841,P,-1323650,-135.27,TPOS_S,-,-,-,-
2026-04-14 15:47:45:045,P,-1313860,-134.27,TPOS_E,-1314208,-134.3099,-348,-0.0356
2026-04-14 15:47:45:268,P,-1313860,-134.27,TPOS,-1304423,-133.3099,9437,0.9644
2026-04-14 15:47:45:457,P,-1313860,-134.27,TPOS_S,-,-,-,-
2026-04-14 15:47:45:659,P,-1304077,-133.27,TPOS_E,-1304423,-133.3099,-346,-0.0354
2026-04-14 15:47:45:882,P,-1304077,-133.27,TPOS,-1294638,-132.3099,9439,0.9647
2026-04-14 15:47:46:069,P,-1304077,-133.27,TPOS_S,-,-,-,-
2026-04-14 15:47:46:272,P,-1294246,-132.27,TPOS_E,-1294638,-132.3099,-392,-0.0401
2026-04-14 15:47:46:495,P,-1294246,-132.27,TPOS,-1284853,-131.3099,9393,0.9599
2026-04-14 15:47:46:683,P,-1294246,-132.27,TPOS_S,-,-,-,-
2026-04-14 15:47:46:884,P,-1284374,-131.26,TPOS_E,-1284853,-131.3099,-479,-0.0490
2026-04-14 15:47:47:106,P,-1284374,-131.26,TPOS,-1275069,-130.3100,9305,0.9510
2026-04-14 15:47:47:294,P,-1284374,-131.26,TPOS_S,-,-,-,-
2026-04-14 15:47:47:495,P,-1274562,-130.26,TPOS_E,-1275069,-130.3100,-507,-0.0518
2026-04-14 15:47:47:717,P,-1274562,-130.26,TPOS,-1265284,-129.3100,9278,0.9482
2026-04-14 15:47:47:906,P,-1274562,-130.26,TPOS_S,-,-,-,-
2026-04-14 15:47:48:107,P,-1264819,-129.26,TPOS_E,-1265284,-129.3100,-465,-0.0475
2026-04-14 15:47:48:330,P,-1264819,-129.26,TPOS,-1255499,-128.3100,9320,0.9525
2026-04-14 15:47:48:518,P,-1264819,-129.26,TPOS_S,-,-,-,-
2026-04-14 15:47:48:719,P,-1255089,-128.27,TPOS_E,-1255499,-128.3100,-410,-0.0419
2026-04-14 15:47:48:941,P,-1255089,-128.27,TPOS,-1245714,-127.3100,9375,0.9581
2026-04-14 15:47:49:151,P,-1255089,-128.27,TPOS_S,-,-,-,-
2026-04-14 15:47:49:352,P,-1245347,-127.27,TPOS_E,-1245714,-127.3100,-367,-0.0375
2026-04-14 15:47:49:576,P,-1245347,-127.27,TPOS,-1235929,-126.3100,9418,0.9625
2026-04-14 15:47:49:764,P,-1245347,-127.27,TPOS_S,-,-,-,-
2026-04-14 15:47:49:965,P,-1235612,-126.28,TPOS_E,-1235929,-126.3100,-317,-0.0324
2026-04-14 15:47:50:189,P,-1235612,-126.28,TPOS,-1226144,-125.3099,9468,0.9676
2026-04-14 15:47:50:377,P,-1235612,-126.28,TPOS_S,-,-,-,-
2026-04-14 15:47:50:578,P,-1225826,-125.28,TPOS_E,-1226144,-125.3099,-318,-0.0325
2026-04-14 15:47:50:800,P,-1225826,-125.28,TPOS,-1216359,-124.3099,9467,0.9675
2026-04-14 15:47:50:989,P,-1225826,-125.28,TPOS_S,-,-,-,-
2026-04-14 15:47:51:191,P,-1215902,-124.26,TPOS_E,-1216359,-124.3099,-457,-0.0467
2026-04-14 15:47:51:413,P,-1215902,-124.26,TPOS,-1206574,-123.3099,9328,0.9533
2026-04-14 15:47:51:582,P,-1215902,-124.26,TPOS_S,-,-,-,-
2026-04-14 15:47:51:783,P,-1206026,-123.25,TPOS_E,-1206574,-123.3099,-548,-0.0560
2026-04-14 15:47:52:007,P,-1206026,-123.25,TPOS,-1196789,-122.3099,9237,0.9440
2026-04-14 15:47:52:196,P,-1206026,-123.25,TPOS_S,-,-,-,-
2026-04-14 15:47:52:397,P,-1196249,-122.25,TPOS_E,-1196789,-122.3099,-540,-0.0552
2026-04-14 15:47:52:620,P,-1196249,-122.25,TPOS,-1187005,-121.3100,9244,0.9447
2026-04-14 15:47:52:828,P,-1196249,-122.25,TPOS_S,-,-,-,-
2026-04-14 15:47:53:030,P,-1186541,-121.26,TPOS_E,-1187005,-121.3100,-464,-0.0474
2026-04-14 15:47:53:253,P,-1186541,-121.26,TPOS,-1177220,-120.3100,9321,0.9526
2026-04-14 15:47:53:441,P,-1186541,-121.26,TPOS_S,-,-,-,-
2026-04-14 15:47:53:643,P,-1176884,-120.28,TPOS_E,-1177220,-120.3100,-336,-0.0343
2026-04-14 15:47:53:865,P,-1176884,-120.28,TPOS,-1167435,-119.3100,9449,0.9657
2026-04-14 15:47:54:054,P,-1176884,-120.28,TPOS_S,-,-,-,-
2026-04-14 15:47:54:255,P,-1167251,-119.29,TPOS_E,-1167435,-119.3100,-184,-0.0188
2026-04-14 15:47:54:480,P,-1167251,-119.29,TPOS,-1157650,-118.3100,9601,0.9812
2026-04-14 15:47:54:668,P,-1167251,-119.29,TPOS_S,-,-,-,-
2026-04-14 15:47:54:869,P,-1157552,-118.30,TPOS_E,-1157650,-118.3100,-98,-0.0100
2026-04-14 15:47:55:092,P,-1157552,-118.30,TPOS,-1147865,-117.3100,9687,0.9900
2026-04-14 15:47:55:259,P,-1157552,-118.30,TPOS_S,-,-,-,-
2026-04-14 15:47:55:461,P,-1147631,-117.29,TPOS_E,-1147865,-117.3100,-234,-0.0239
2026-04-14 15:47:55:683,P,-1147631,-117.29,TPOS,-1138080,-116.3099,9551,0.9761
2026-04-14 15:47:55:871,P,-1147631,-117.29,TPOS_S,-,-,-,-
2026-04-14 15:47:56:072,P,-1137632,-116.26,TPOS_E,-1138080,-116.3099,-448,-0.0458
2026-04-14 15:47:56:295,P,-1137632,-116.26,TPOS,-1128295,-115.3099,9337,0.9542
2026-04-14 15:47:56:482,P,-1137632,-116.26,TPOS_S,-,-,-,-
2026-04-14 15:47:56:684,P,-1127731,-115.25,TPOS_E,-1128295,-115.3099,-564,-0.0576
2026-04-14 15:47:56:907,P,-1127731,-115.25,TPOS,-1118510,-114.3099,9221,0.9424
2026-04-14 15:47:57:096,P,-1127731,-115.25,TPOS_S,-,-,-,-
2026-04-14 15:47:57:297,P,-1117999,-114.26,TPOS_E,-1118510,-114.3099,-511,-0.0522
2026-04-14 15:47:57:520,P,-1117999,-114.26,TPOS,-1108725,-113.3099,9274,0.9478
2026-04-14 15:47:57:708,P,-1117999,-114.26,TPOS_S,-,-,-,-
2026-04-14 15:47:57:909,P,-1108255,-113.26,TPOS_E,-1108725,-113.3099,-470,-0.0480
2026-04-14 15:47:58:132,P,-1108255,-113.26,TPOS,-1098940,-112.3099,9315,0.9520
2026-04-14 15:47:58:300,P,-1108255,-113.26,TPOS_S,-,-,-,-
2026-04-14 15:47:58:501,P,-1098617,-112.28,TPOS_E,-1098940,-112.3099,-323,-0.0330
2026-04-14 15:47:58:727,P,-1098617,-112.28,TPOS,-1089156,-111.3100,9461,0.9669
2026-04-14 15:47:58:915,P,-1098617,-112.28,TPOS_S,-,-,-,-
