DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-04-17 15:44:56:690,Z,-2827664,-32.11,TPOS,-1506124,-17.1026,1321540,15.0066
2026-04-17 15:44:56:711,V,710577,-20.83,TPOS,828105,-24.2724,117528,-3.4448
2026-04-17 15:44:56:733,H,1054211,-30.90,TPOS,858527,-25.1641,-195684,5.7356
2026-04-17 15:44:56:980,Z,-2827664,-32.11,TPOS_S,-,-,-,-
2026-04-17 15:44:57:124,V,710577,-20.83,TPOS_S,-,-,-,-
2026-04-17 15:44:57:247,H,1054211,-30.90,TPOS_S,-,-,-,-
2026-04-17 15:44:57:850,V,829002,-24.30,TPOS_E,828105,-24.2724,-897,0.0263
2026-04-17 15:44:58:251,H,857308,-25.13,TPOS_E,858527,-25.1641,1219,-0.0357
2026-04-17 15:45:03:063,Z,-1505284,-17.09,TPOS_E,-1506124,-17.1026,-840,-0.0095
2026-04-17 15:45:03:487,Y,-736559,-12.55,TPOS,-951645,-16.2094,-215086,-3.6636
2026-04-17 15:45:03:509,X,-1297302,-22.10,TPOS,-1039677,-17.7089,257625,4.3881
2026-04-17 15:45:03:672,Y,-736559,-12.55,TPOS_S,-,-,-,-
2026-04-17 15:45:03:795,X,-1297302,-22.10,TPOS_S,-,-,-,-
2026-04-17 15:45:04:998,Y,-952419,-16.22,TPOS_E,-951645,-16.2094,774,0.0132
2026-04-17 15:45:06:402,X,-1039846,-17.71,TPOS_E,-1039677,-17.7089,169,0.0029
2026-04-17 15:45:06:827,Z,-1505284,-17.09,TPOS,-2827084,-32.1026,-1321800,-15.0095
2026-04-17 15:45:07:010,Z,-1505284,-17.09,TPOS_S,-,-,-,-
2026-04-17 15:45:13:421,Z,-2827673,-32.11,TPOS_E,-2827084,-32.1026,589,0.0067
2026-04-17 15:45:13:848,P,-1223776,-125.07,TPOS,-1128594,-115.3405,95182,9.7274
2026-04-17 15:45:13:870,V,829002,-24.30,TPOS,839978,-24.6204,10976,-0.3217
2026-04-17 15:45:13:892,H,857308,-25.13,TPOS,954467,-27.9762,97159,-2.8478
2026-04-17 15:45:13:913,N,-3637102,45.43,TPOS,-4463601,55.7545,-826499,10.3237
2026-04-17 15:45:14:016,P,-1223776,-125.07,TPOS_S,-,-,-,-
2026-04-17 15:45:14:159,V,829002,-24.30,TPOS_S,-,-,-,-
2026-04-17 15:45:14:302,H,857308,-25.13,TPOS_S,-,-,-,-
2026-04-17 15:45:14:324,V,840769,-24.64,TPOS_E,839978,-24.6204,-791,0.0232
2026-04-17 15:45:14:426,N,-3637102,45.43,TPOS_S,-,-,-,-
2026-04-17 15:45:14:829,P,-1128065,-115.29,TPOS_E,-1128594,-115.3405,-529,-0.0541
2026-04-17 15:45:15:031,H,955427,-28.00,TPOS_E,954467,-27.9762,-960,0.0281
2026-04-17 15:45:18:240,N,-4464735,55.77,TPOS_E,-4463601,55.7545,1134,-0.0142
