DateTime,Axis,CurPosCount,CurPosUnit,CmdID,TgtPosCount,TgtPosUnit,DiffCount,DiffUnit
2026-04-23 13:19:21:348,Y,0,0.00,TPOS_Z,-,-,-,-
2026-04-23 13:19:21:349,Y,0,0.00,TPOS_I,-,-,-,-
2026-04-23 13:19:22:706,P,0,0.00,TPOS_Z,-,-,-,-
2026-04-23 13:19:22:728,P,0,0.00,TPOS_I,-,-,-,-
2026-04-23 13:19:22:797,Y,0,0.00,TPOS,-1144831,-19.5000,-1144831,-19.5000
2026-04-23 13:19:23:070,Y,0,0.00,TPOS_S,-,-,-,-
2026-04-23 13:19:24:077,X,0,0.00,TPOS_Z,-,-,-,-
2026-04-23 13:19:24:280,X,0,0.00,TPOS_I,-,-,-,-
2026-04-23 13:19:27:080,Z,0,0.00,TPOS_Z,-,-,-,-
2026-04-23 13:19:27:080,Z,0,0.00,TPOS_I,-,-,-,-
2026-04-23 13:19:27:450,N,0,0.00,TPOS_Z,-,-,-,-
2026-04-23 13:19:27:472,N,0,0.00,TPOS_I,-,-,-,-
2026-04-23 13:19:29:070,Y,-1145377,-19.51,TPOS_E,-1144831,-19.5000,546,0.0093
2026-04-23 13:19:29:293,Z,0,0.00,TPOS,-4403200,-50.0000,-4403200,-50.0000
2026-04-23 13:19:29:316,Y,-1145377,-19.51,TPOS,-176127,-3.0000,969250,16.5093
2026-04-23 13:19:29:337,P,0,0.00,TPOS,-1643861,-167.9999,-1643861,-167.9999
2026-04-23 13:19:29:360,N,0,0.00,TPOS,-5564043,69.5000,-5564043,69.5000
2026-04-23 13:19:29:382,X,0,0.00,TPOS,-1291605,-22.0000,-1291605,-22.0000
2026-04-23 13:19:29:705,Z,0,0.00,TPOS_S,-,-,-,-
2026-04-23 13:19:29:705,Y,-1145377,-19.51,TPOS_S,-,-,-,-
2026-04-23 13:19:30:006,P,0,0.00,TPOS_S,-,-,-,-
2026-04-23 13:19:30:006,N,0,0.00,TPOS_S,-,-,-,-
2026-04-23 13:19:30:006,X,0,0.00,TPOS_S,-,-,-,-
2026-04-23 13:19:34:685,H,0,0.00,TPOS_Z,-,-,-,-
2026-04-23 13:19:34:887,H,0,0.00,TPOS_I,-,-,-,-
2026-04-23 13:19:35:489,H,0,0.00,TPOS,1671740,-49.0000,1671740,-49.0000
2026-04-23 13:19:35:678,H,0,0.00,TPOS_S,-,-,-,-
2026-04-23 13:19:37:083,X,-1292115,-22.01,TPOS_E,-1291605,-22.0000,510,0.0087
2026-04-23 13:19:37:286,Y,-176236,-3.00,TPOS_E,-176127,-3.0000,109,0.0019
2026-04-23 13:19:37:510,X,-1292115,-22.01,TPOS,-176127,-3.0000,1115988,19.0087
2026-04-23 13:19:37:698,X,-1292115,-22.01,TPOS_S,-,-,-,-
2026-04-23 13:19:39:509,P,-1644427,-168.06,TPOS_E,-1643861,-167.9999,566,0.0578
2026-04-23 13:19:39:933,P,-1644427,-168.06,TPOS,-9784,-0.9999,1634643,167.0579
2026-04-23 13:19:40:121,P,-1644427,-168.06,TPOS_S,-,-,-,-
2026-04-23 13:19:43:537,H,1672670,-49.03,TPOS_E,1671740,-49.0000,-930,0.0273
2026-04-23 13:19:43:962,H,1672670,-49.03,TPOS,858527,-25.1641,-814143,23.8632
2026-04-23 13:19:44:150,H,1672670,-49.03,TPOS_S,-,-,-,-
2026-04-23 13:19:47:166,X,-176063,-3.00,TPOS_E,-176127,-3.0000,-64,-0.0011
2026-04-23 13:19:47:970,H,857272,-25.13,TPOS_E,858527,-25.1641,1255,-0.0368
2026-04-23 13:19:50:077,P,-9569,-0.98,TPOS_E,-9784,-0.9999,-215,-0.0220
2026-04-23 13:19:51:159,Z,-4404115,-50.01,TPOS_E,-4403200,-50.0000,915,0.0104
2026-04-23 13:19:51:584,Z,-4404115,-50.01,TPOS,-2650726,-30.1000,1753389,19.9104
2026-04-23 13:19:51:773,Z,-4404115,-50.01,TPOS_S,-,-,-,-
2026-04-23 13:19:54:187,V,0,0.00,TPOS_Z,-,-,-,-
2026-04-23 13:19:54:189,V,0,0.00,TPOS_I,-,-,-,-
2026-04-23 13:19:54:793,V,0,0.00,TPOS,1671740,-49.0000,1671740,-49.0000
2026-04-23 13:19:55:000,V,0,0.00,TPOS_S,-,-,-,-
2026-04-23 13:19:55:202,N,-5565229,69.51,TPOS_E,-5564043,69.5000,1186,-0.0148
2026-04-23 13:19:55:628,N,-5565229,69.51,TPOS,-1030348,12.8700,4534881,-56.6448
2026-04-23 13:19:55:815,N,-5565229,69.51,TPOS_S,-,-,-,-
2026-04-23 13:19:57:826,R,0,0.00,TPOS_Z,-,-,-,-
2026-04-23 13:19:57:827,R,0,0.00,TPOS_I,-,-,-,-
2026-04-23 13:19:58:240,R,0,0.00,TPOS,-2328803,-119.0000,-2328803,-119.0000
2026-04-23 13:19:58:428,R,0,0.00,TPOS_S,-,-,-,-
2026-04-23 13:20:00:036,Z,-2649714,-30.09,TPOS_E,-2650726,-30.1000,-1012,-0.0115
2026-04-23 13:20:03:250,V,1672615,-49.03,TPOS_E,1671740,-49.0000,-875,0.0256
2026-04-23 13:20:03:677,V,1672615,-49.03,TPOS,828105,-24.2724,-844510,24.7532
2026-04-23 13:20:03:866,V,1672615,-49.03,TPOS_S,-,-,-,-
2026-04-23 13:20:09:490,V,827847,-24.26,TPOS_E,828105,-24.2724,258,-0.0076
2026-04-23 13:20:09:716,X,-176063,-3.00,TPOS,-1121653,-19.1052,-945590,-16.1063
2026-04-23 13:20:09:738,Y,-176236,-3.00,TPOS,-784656,-13.3651,-608420,-10.3633
2026-04-23 13:20:09:905,X,-176063,-3.00,TPOS_S,-,-,-,-
2026-04-23 13:20:10:031,Y,-176236,-3.00,TPOS_S,-,-,-,-
2026-04-23 13:20:11:237,R,-2329569,-119.04,TPOS_E,-2328803,-119.0000,766,0.0391
2026-04-23 13:20:11:662,R,-2329569,-119.04,TPOS,-1174186,-60.0000,1155383,59.0391
2026-04-23 13:20:11:851,R,-2329569,-119.04,TPOS_S,-,-,-,-
2026-04-23 13:20:13:259,Y,-785569,-13.38,TPOS_E,-784656,-13.3651,913,0.0156
2026-04-23 13:20:15:070,X,-1122184,-19.11,TPOS_E,-1121653,-19.1052,531,0.0090
2026-04-23 13:20:16:676,N,-1029148,12.86,TPOS_E,-1030348,12.8700,-1200,0.0150
2026-04-23 13:20:18:482,R,-1173651,-59.97,TPOS_E,-1174186,-60.0000,-535,-0.0273
